        n    z      alpha(keV)
1468   58   32      -1.08E+4 7
1469   58   32      -1.08E+4 7
1470   58   32      -1.08E+4 7
1471   50   33         -9546 3
1472   57   33       -9.7E+3 6
1473   57   33       -9.7E+3 6
1474   58   33      -1.01E+4 6
1475   55   33     -8.78E+3 20
1476   56   33       -9.2E+3 3
1477   56   33       -9.2E+3 3
1478   53   33         -8456 4
1479   53   33         -8456 4
1480   53   33         -8456 4
1481   54   33         -8786 4
1482   54   33         -8786 4
1483   51   33         -9055 4
1484   51   33         -9055 4
1485   52   33         -7986 4
1486   52   33         -7986 4
1487   59   33      -1.04E+4 7
1488   46   33         -7600 5
1489   47   33         -8343 4
1490   44   33      -6641.9 24
1491   45   33        -7192 10
1492   42   33        6900.7 9
1493   42   33      -5320.0 12
1494   43   33      -6128.0 12
1495   40   33         -4050 4
1496   41   33      -4374.8 21
1497   41   33      -4374.8 21
1498   48   33         -8966 4
1499   49   33         -8826 4
1500   49   33         -8826 4
1501   35   33      -2486.6 23
1502   36   33      -2.88E+3 3
1503   33   33         -2463 6
1504   34   33      -2465.0 14
1505   31   33       -2.4E+3 3
1506   32   33      -2.23E+3 9
1507   30   33       -2.2E+3 3
1508   39   33         -3569 4
1509   37   33      -3035.2 18
1510   38   33         -3439 4
1511   28   33       -4.2E+3 5
1512   29   33       -3.3E+3 4
1513   27   33       -4.2E+3 6
1514   61   34            0 0
1515   61   34            0 0
1516   61   34            0 0
1517   60   34      -1.08E+4 7
1518   50   34         -8837 3
1519   51   34         -8547 3
1520   58   34       -9.6E+3 6
1521   59   34      -1.02E+4 6
1522   56   34       -8.8E+3 5
1523   56   34       -8.8E+3 5
1524   57   34       -9.4E+3 5
1525   57   34       -9.4E+3 5
1526   54   34         -8161 5
1527   54   34         -8161 5
1528   55   34         -8294 5
1529   55   34         -8294 5
1530   52   34         -7513 3
1531   53   34         -7875 3
1532   53   34         -7875 3
1533   40   34          8549 4
1534   47   34      -7601.1 10
1535   47   34      -7601.1 10
1536   47   34      -7601.1 10
1537   48   34         12350 3
1538   45   34     -6485.41 23
1539   45   34     -6485.41 23
1540   45   34     -6485.41 23
1541   46   34       -6971.5 9
1542   43   34        9597.1 9
1543   43   34      -5726.88 8
1544   44   34      10398.6 17
1545   41   34       -4687.7 8
1546   42   34        9506.7 9
1547   49   34      -8.24E+3 4
1548   49   34      -8.24E+3 4
1549   36   34         -2748 3
1550   37   34         -2898 5
1551   34   34         -2299 4
1552   35   34         -2381 3
1553   35   34         -2381 3
1554   32   34     -1.94E+3 24
1555   33   34      -2.08E+3 8
1556   33   34      -2.08E+3 8
1557   30   34       -1.8E+3 6
1558   31   34       -1.7E+3 4
1559   31   34       -1.7E+3 4
1560   38   34         -3314 3
1561   39   34         -3552 8
1562   39   34         -3552 8
1563   39   34         -3552 8
1564   29   34            0 AP
1565   63   35            0 0
1566   63   35            0 0
1567   63   35            0 0
1568   62   35            0 0
1569   61   35      -1.03E+4 6
1570   61   35      -1.03E+4 6
1571   60   35       -9.8E+3 5
1572   60   35       -9.8E+3 5
1573   52   35         -6647 4
1574   52   35         -6647 4
1575   51   35         -7952 5
1576   50   35         -8467 4
1577   59   35       -9.1E+3 4
1578   59   35       -9.1E+3 4
1579   58   35       -8.8E+3 5
1580   58   35       -8.8E+3 5
1581   57   35     -8.21E+3 20
1582   57   35     -8.21E+3 20
1583   56   35         -7914 5
1584   56   35         -7914 5
1585   55   35         -7463 5
1586   55   35         -7463 5
1587   54   35         -7510 4
1588   54   35         -7510 4
1589   53   35         -7287 4
1590   53   35         -7287 4
1591   41   35        -4484 10
1592   41   35        -4484 10
1593   41   35        -4484 10
1594   40   35         -3639 6
1595   49   35      -7.99E+3 3
1596   49   35      -7.99E+3 3
1597   48   35         -7803 7
1598   47   35        -7107 10
1599   47   35        -7107 10
1600   47   35        -7107 10
1601   46   35       7506.5 14
1602   45   35      -6022.6 13
1603   45   35      -6022.6 13
1604   45   35      -6022.6 13
1605   44   35       6331.1 10
1606   44   35      -5458.8 13
1607   43   35         -5017 4
1608   43   35         -5017 4
1609   42   35         -4707 5
1610   42   35         -4707 5
1611   30   35       -3.1E+3 7
1612   38   35      -2.96E+3 3
1613   37   35      -2592.1 21
1614   37   35      -2592.1 21
1615   37   35      -2592.1 21
1616   36   35         -2340 5
1617   35   35        -1825 16
1618   35   35        -1825 16
1619   34   35      -1.75E+3 9
1620   33   35       -1.7E+3 3
1621   32   35       -1.5E+3 4
1622   31   35       -2.2E+3 5
1623   39   35         -3379 6
1624   39   35         -3379 6
1625   64   36            0 0
1626   64   36            0 0
1627   63   36      -1.04E+4 6
1628   63   36      -1.04E+4 6
1629   62   36       -9.7E+3 6
1630   62   36       -9.7E+3 6
1631   61   36       -9.0E+3 4
1632   61   36       -9.0E+3 4
1633   60   36       -8.8E+3 4
1634   60   36       -8.8E+3 4
1635   65   36            0 0
1636   65   36            0 0
1637   65   36            0 0
1638   53   36         -6547 3
1639   52   36         -6168 3
1640   51   36         -7794 3
1641   50   36         11979 3
1642   59   36       -8.0E+3 4
1643   59   36       -8.0E+3 4
1644   58   36       -8.0E+3 3
1645   58   36       -8.0E+3 3
1646   57   36         -7569 4
1647   57   36         -7569 4
1648   56   36         -7310 4
1649   56   36         -7310 4
1650   55   36         -6973 3
1651   54   36         -6881 3
1652   42   36       -4390.0 3
1653   41   36         -4367 8
1654   40   36         -3570 4
1655   49   36      -7516.2 22
1656   49   36      -7516.2 22
1657   49   36      -7516.2 22
1658   48   36         10715 4
1659   47   36       9780.9 10
1660   47   36     -6498.09 22
1661   46   36       9903.7 10
1662   45   36      -5521.6 11
1663   45   36      -5521.6 11
1664   45   36      -5521.6 11
1665   44   36       9114.4 11
1666   43   36         -4698 3
1667   43   36         -4698 3
1668   31   36        -7.E+2 6
1669   39   36         -3602 9
1670   38   36         -2827 3
1671   37   36         -2542 7
1672   37   36         -2542 7
1673   36   36         -2176 8
1674   36   36         -2176 8
1675   35   36     -2.17E+3 15
1676   35   36     -2.17E+3 15
1677   34   36       -1.9E+3 3
1678   34   36       -1.9E+3 3
1679   33   36       -1.5E+3 4
1680   32   36            0 AP
1681   55   37         -6481 7
1682   55   37         -6481 7
1683   56   37         -6771 8
1684   56   37         -6771 8
1685   57   37         -6987 4
1686   57   37         -6987 4
1687   58   37        -7208 21
1688   58   37        -7208 21
1689   59   37         -7546 7
1690   59   37         -7546 7
1691   50   37         -8009 4
1692   51   37      -7.25E+3 3
1693   51   37      -7.25E+3 3
1694   52   37         -5562 6
1695   53   37         -6158 7
1696   53   37         -6158 7
1697   53   37         -6158 7
1698   54   37         -6278 8
1699   44   37         -4647 6
1700   44   37         -4647 6
1701   44   37         -4647 6
1702   45   37         -5161 5
1703   45   37         -5161 5
1704   45   37         -5161 5
1705   46   37         -5427 3
1706   47   37      -6294.9 24
1707   47   37      -6294.9 24
1708   47   37      -6294.9 24
1709   48   37      7016.966 4
1710   49   37      -7673.2 10
1711   49   37      -7673.2 10
1712   49   37      -7673.2 10
1713   49   37      -7673.2 10
1714   40   37         -3610 7
1715   41   37         -4072 7
1716   41   37         -4072 7
1717   41   37         -4072 7
1718   42   37         -4121 5
1719   43   37        -4311 10
1720   34   37       -2.2E+3 5
1721   35   37       -2.0E+3 6
1722   36   37      -2.18E+3 6
1723   36   37      -2.18E+3 6
1724   37   37        -2915 15
1725   38   37         -3141 6
1726   39   37      -3842.3 14
1727   39   37      -3842.3 14
1728   66   37            0 0
1729   66   37            0 0
1730   66   37            0 0
1731   67   37            0 0
1732   60   37       -8.1E+3 4
1733   60   37       -8.1E+3 4
1734   60   37       -8.1E+3 4
1735   61   37     -9.14E+3 20
1736   61   37     -9.14E+3 20
1737   61   37     -9.14E+3 20
1738   61   37     -9.14E+3 20
1739   62   37       -9.7E+3 3
1740   62   37       -9.7E+3 3
1741   63   37      -1.05E+4 3
1742   63   37      -1.05E+4 3
1743   63   37      -1.05E+4 3
1744   64   37      -1.10E+4 4
1745   64   37      -1.10E+4 4
1746   65   37      -1.16E+4 4
1747   65   37      -1.16E+4 4
1748   67   38      -1.20E+4 7
1749   67   38      -1.20E+4 7
1750   67   38      -1.20E+4 7
1751   68   38            0 0
1752   68   38            0 0
1753   68   38            0 0
1754   69   38            0 0
1755   69   38            0 0
1756   69   38            0 0
1757   60   38        -7500 13
1758   60   38        -7500 13
1759   61   38        -8785 19
1760   61   38        -8785 19
1761   62   38        -9161 20
1762   62   38        -9161 20
1763   63   38    -1.033E+4 13
1764   63   38    -1.033E+4 13
1765   64   38      -1.05E+4 3
1766   64   38      -1.05E+4 3
1767   65   38      -1.13E+4 4
1768   65   38      -1.13E+4 4
1769   65   38      -1.13E+4 4
1770   66   38      -1.17E+4 5
1771   66   38      -1.17E+4 5
1772   66   38      -1.17E+4 5
1773   56   38      -6311.4 25
1774   57   38         -6568 6
1775   58   38         -6574 9
1776   59   38         -6870 4
1777   59   38         -6870 4
1778   50   38     10612.798 7
1779   51   38      -7153.6 20
1780   52   38      -5110.2 14
1781   53   38         -5367 5
1782   54   38         -5601 4
1783   55   38         -5975 8
1784   45   38         -4780 8
1785   45   38         -4780 8
1786   46   38          8868 3
1787   47   38         -5832 3
1788   47   38         -5832 3
1789   47   38         -5832 3
1790   48   38      9644.730 5
1791   49   38      9422.04 20
1792   49   38     -7314.349 9
1793   49   38     -7314.349 9
1794   40   38         -3267 8
1795   41   38        -3581 11
1796   42   38         -3723 5
1797   43   38         -3784 4
1798   44   38         -4257 6
1799   35   38       -2.2E+3 5
1800   35   38       -2.2E+3 5
1801   36   38     -2.15E+3 22
1802   36   38     -2.15E+3 22
1803   37   38       -2.7E+3 3
1804   37   38       -2.7E+3 3
1805   38   38      -2.73E+3 4
1806   38   38      -2.73E+3 4
1807   39   38        -3677 10
1808   39   38        -3677 10
1809   69   39      -1.18E+4 8
1810   69   39      -1.18E+4 8
1811   69   39      -1.18E+4 8
1812   68   39      -1.12E+4 6
1813   68   39      -1.12E+4 6
1814   68   39      -1.12E+4 6
1815   61   39        -8392 12
1816   61   39        -8392 12
1817   61   39        -8392 12
1818   60   39        -7178 21
1819   60   39        -7178 21
1820   63   39        -9228 17
1821   63   39        -9228 17
1822   63   39        -9228 17
1823   63   39        -9228 17
1824   62   39         -8961 7
1825   62   39         -8961 7
1826   65   39    -1.024E+4 20
1827   65   39    -1.024E+4 20
1828   65   39    -1.024E+4 20
1829   64   39        -9761 12
1830   64   39        -9761 12
1831   67   39      -1.10E+4 5
1832   67   39      -1.10E+4 5
1833   67   39      -1.10E+4 5
1834   66   39      -1.04E+4 4
1835   66   39      -1.04E+4 4
1836   66   39      -1.04E+4 4
1837   70   39            0 0
1838   70   39            0 0
1839   70   39            0 0
1840   58   39        -5920 10
1841   58   39        -5920 10
1842   58   39        -5920 10
1843   58   39        -5920 10
1844   58   39        -5920 10
1845   58   39        -5920 10
1846   58   39        -5920 10
1847   57   39         -5982 9
1848   57   39         -5982 9
1849   59   39         -6151 8
1850   59   39         -6151 8
1851   59   39         -6151 8
1852   59   39         -6151 8
1853   59   39         -6151 8
1854   50   39        7078.5 3
1855   50   39       -7968.8 3
1856   52   39      -4178.4 18
1857   52   39      -4178.4 18
1858   52   39      -4178.4 18
1859   51   39       -6174.8 4
1860   51   39       -6174.8 4
1861   51   39       -6174.8 4
1862   54   39        -4940 12
1863   54   39        -4940 12
1864   53   39         -4632 9
1865   56   39        -5888 10
1866   55   39         -5411 9
1867   47   39        -5520 14
1868   47   39        -5520 14
1869   47   39        -5520 14
1870   46   39        -4810 20
1871   46   39        -4810 20
1872   46   39        -4810 20
1873   49   39         -6965 3
1874   48   39         -6373 3
1875   48   39         -6373 3
1876   48   39         -6373 3
1877   41   39         -3094 6
1878   41   39         -3094 6
1879   41   39         -3094 6
1880   41   39         -3094 6
1881   40   39      -3.01E+3 8
1882   40   39      -3.01E+3 8
1883   43   39         -3554 6
1884   42   39         -3307 6
1885   45   39         -4144 5
1886   45   39         -4144 5
1887   44   39        -3828 19
1888   44   39        -3828 19
1889   44   39        -3828 19
1890   36   39       -1.7E+3 3
1891   38   39     -2.85E+3 21
1892   38   39     -2.85E+3 21
1893   38   39     -2.85E+3 21
1894   37   39       -2.3E+3 6
1895   37   39       -2.3E+3 6
1896   39   39       -2.7E+3 3
1897   39   39       -2.7E+3 3
1898   39   39       -2.7E+3 3
1899   39   39       -2.7E+3 3
1900   69   40      -1.00E+4 7
1901   69   40      -1.00E+4 7
1902   69   40      -1.00E+4 7
1903   68   40       -9.6E+3 5
1904   68   40       -9.6E+3 5
1905   67   40       -9.2E+3 4
1906   67   40       -9.2E+3 4
1907   66   40     -9.01E+3 21
1908   66   40     -9.01E+3 21
1909   61   40         -7005 9
1910   60   40        -5879 12
1911   65   40        -8558 15
1912   65   40        -8558 15
1913   64   40        -8325 12
1914   64   40        -8325 12
1915   63   40        -7715 10
1916   63   40        -7715 10
1917   62   40         -7584 9
1918   58   40         -4861 9
1919   57   40         -5276 8
1920   56   40         -4996 3
1921   55   40         -4433 6
1922   59   40        -4924 12
1923   50   40        8350.3 4
1924   50   40     -6674.36 12
1925   54   40        10331 10
1926   53   40       -3337.9 5
1927   52   40       9396.7 18
1928   51   40        8687.7 4
1929   47   40         -4974 8
1930   47   40         -4974 8
1931   46   40         -4384 7
1932   45   40         -4072 7
1933   45   40         -4072 7
1934   45   40         -4072 7
1935   44   40         -3535 6
1936   49   40         -6200 4
1937   49   40         -6200 4
1938   49   40         -6200 4
1939   48   40         -5404 6
1940   48   40         -5404 6
1941   43   40        -2857 10
1942   43   40        -2857 10
1943   42   40         -2865 8
1944   41   40      -2.15E+3 9
1945   41   40      -2.15E+3 9
1946   40   40       -2.9E+3 3
1947   40   40       -2.9E+3 3
1948   39   40       -2.6E+3 4
1949   39   40       -2.6E+3 4
1950   38   40       -2.4E+3 4
1951   37   40         6.E+2 5
1952   72   40            0 0
1953   72   40            0 0
1954   72   40            0 0
1955   71   40      -1.07E+4 9
1956   71   40      -1.07E+4 9
1957   71   40      -1.07E+4 9
1958   70   40      -1.03E+4 8
1959   70   40      -1.03E+4 8
1960   70   40      -1.03E+4 8
1961   73   40            0 0
1962   39   41       -1.1E+3 5
1963   38   41       -1.9E+3 6
1964   73   41            0 0
1965   73   41            0 0
1966   73   41            0 0
1967   72   41      -1.02E+4 8
1968   72   41      -1.02E+4 8
1969   72   41      -1.02E+4 8
1970   71   41       -9.7E+3 7
1971   70   41       -9.4E+3 6
1972   75   41            0 0
1973   74   41            0 0
1974   74   41            0 0
1975   74   41            0 0
1976   69   41      -8.9E+3 10
1977   69   41      -8.9E+3 10
1978   68   41       -8.5E+3 6
1979   68   41       -8.5E+3 6
1980   67   41     -7.89E+3 20
1981   67   41     -7.89E+3 20
1982   67   41     -7.89E+3 20
1983   67   41     -7.89E+3 20
1984   62   41         -6810 8
1985   61   41         -6434 8
1986   61   41         -6434 8
1987   60   41         -5201 8
1988   66   41        -7692 14
1989   66   41        -7692 14
1990   65   41         -7455 4
1991   65   41         -7455 4
1992   65   41         -7455 4
1993   64   41         -7286 8
1994   64   41         -7286 8
1995   63   41        -6915 11
1996   63   41        -6915 11
1997   63   41        -6915 11
1998   63   41        -6915 11
1999   59   41        -3886 10
2000   59   41        -3886 10
2001   58   41        -3552 14
2002   58   41        -3552 14
2003   58   41        -3552 14
2004   57   41         -3598 8
2005   57   41         -3598 8
2006   57   41         -3598 8
2007   56   41        -3801 11
2008   56   41        -3801 11
2009   51   41      -4579.2 23
2010   51   41      -4579.2 23
2011   51   41      -4579.2 23
2012   50   41         -6045 3
2013   50   41         -6045 3
2014   50   41         -6045 3
2015   55   41         -3211 9
2016   54   41      -2859.9 19
2017   54   41      -2859.9 19
2018   54   41      -2859.9 19
2019   53   41      -2297.1 15
2020   53   41      -2297.1 15
2021   53   41      -2297.1 15
2022   52   41       6042.8 15
2023   52   41      -1926.6 15
2024   48   41      -5.21E+3 3
2025   48   41      -5.21E+3 3
2026   47   41      -4.70E+3 6
2027   47   41      -4.70E+3 6
2028   46   41        -4094 20
2029   46   41        -4094 20
2030   45   41         -3495 8
2031   49   41        -5803 15
2032   49   41        -5803 15
2033   40   41       -2.3E+3 4
2034   44   41         -2992 7
2035   44   41         -2992 7
2036   44   41         -2992 7
2037   43   41         -2471 6
2038   43   41         -2471 6
2039   42   41     -2.23E+3 18
2040   41   41       -2.1E+3 4
2041   41   41       -2.1E+3 4
2042   70   42       -9.0E+3 4
2043   75   42      -1.18E+4 6
2044   75   42      -1.18E+4 6
2045   75   42      -1.18E+4 6
2046   76   42            0 0
2047   76   42            0 0
2048   76   42            0 0
2049   77   42            0 0
2050   71   42       -9.3E+3 6
2051   71   42       -9.3E+3 6
2052   72   42       -9.9E+3 6
2053   72   42       -9.9E+3 6
2054   73   42      -1.05E+4 7
2055   73   42      -1.05E+4 7
2056   73   42      -1.05E+4 7
2057   74   42      -1.12E+4 9
2058   74   42      -1.12E+4 9
2059   74   42      -1.12E+4 9
2060   68   42     -8.21E+3 20
2061   68   42     -8.21E+3 20
2062   69   42       -8.3E+3 3
2063   69   42       -8.3E+3 3
2064   64   42        -6971 13
2065   65   42        -7161 13
2066   66   42        -7457 13
2067   66   42        -7457 13
2068   67   42        -7626 16
2069   67   42        -7626 16
2070   60   42        -4704 12
2071   61   42        -5763 14
2072   62   42        -6396 12
2073   63   42        -6595 12
2074   57   42       -2735.1 9
2075   58   42       -3179.1 3
2076   59   42       -3008.2 3
2077   53   42       8631.8 15
2078   54   42        9297.6 5
2079   55   42      9230.84 19
2080   56   42          9802 4
2081   50   42          7460 3
2082   51   42         -4354 3
2083   51   42         -4354 3
2084   51   42         -4354 3
2085   52   42       8490.2 15
2086   46   42         -3690 7
2087   47   42         -4265 8
2088   47   42         -4265 8
2089   48   42         -4628 5
2090   49   42         -5287 7
2091   49   42         -5287 7
2092   49   42         -5287 7
2093   42   42       -1.8E+3 4
2094   42   42       -1.8E+3 4
2095   43   42      -2.41E+3 9
2096   43   42      -2.41E+3 9
2097   44   42         -2922 3
2098   45   42         -3398 7
2099   45   42         -3398 7
2100   40   42       -1.9E+3 6
2101   40   42       -1.9E+3 6
2102   41   42       -2.0E+3 5
2103   39   42       -2.3E+3 6
2104   39   42       -2.3E+3 6
2105   58   43        -3167 24
2106   59   43        -3473 10
2107   59   43        -3473 10
2108   59   43        -3473 10
2109   54   43         -2437 4
2110   54   43         -2437 4
2111   54   43         -2437 4
2112   55   43         -2488 4
2113   56   43      -2966.5 10
2114   56   43      -2966.5 10
2115   56   43      -2966.5 10
2116   57   43      -2843.0 14
2117   57   43      -2843.0 14
2118   50   43        -5405 24
2119   50   43        -5405 24
2120   50   43        -5405 24
2121   51   43         -3922 5
2122   51   43         -3922 5
2123   51   43         -3922 5
2124   52   43         -1808 6
2125   52   43         -1808 6
2126   52   43         -1808 6
2127   53   43         -1793 5
2128   53   43         -1793 5
2129   53   43         -1793 5
2130   47   43         -4016 6
2131   47   43         -4016 6
2132   48   43         -4537 7
2133   48   43         -4537 7
2134   48   43         -4537 7
2135   49   43      -5.18E+3 6
2136   43   43       -2.2E+3 4
2137   43   43       -2.2E+3 4
2138   44   43     -2.50E+3 16
2139   45   43         -2901 4
2140   45   43         -2901 4
2141   46   43         -3540 6
2142   46   43         -3540 6
2143   46   43         -3540 6
2144   40   43       -1.8E+3 6
2145   41   43       -1.4E+3 6
2146   42   43       -1.9E+3 6
2147   70   43       -8.5E+3 4
2148   70   43       -8.5E+3 4
2149   70   43       -8.5E+3 4
2150   71   43       -8.7E+3 9
2151   71   43       -8.7E+3 9
2152   71   43       -8.7E+3 9
2153   71   43       -8.7E+3 9
2154   76   43      -1.17E+4 7
2155   76   43      -1.17E+4 7
2156   76   43      -1.17E+4 7
2157   77   43      -1.22E+4 6
2158   77   43      -1.22E+4 6
2159   77   43      -1.22E+4 6
2160   78   43            0 0
2161   78   43            0 0
2162   78   43            0 0
2163   79   43            0 0
2164   72   43       -9.3E+3 4
2165   72   43       -9.3E+3 4
2166   73   43       -9.6E+3 4
2167   74   43      -1.04E+4 6
2168   74   43      -1.04E+4 6
2169   74   43      -1.04E+4 6
2170   75   43      -1.08E+4 6
2171   75   43      -1.08E+4 6
2172   75   43      -1.08E+4 6
2173   69   43        -8139 10
2174   69   43        -8139 10
2175   60   43        -4693 15
2176   65   43         -6537 9
2177   66   43        -6792 10
2178   66   43        -6792 10
2179   67   43        -7257 10
2180   67   43        -7257 10
2181   68   43        -7726 13
2182   68   43        -7726 13
2183   61   43      -5.13E+3 3
2184   62   43      -5.82E+3 4
2185   63   43        -5903 13
2186   64   43        -6146 10
2187   81   44            0 0
2188   80   44            0 0
2189   80   44            0 0
2190   80   44            0 0
2191   70   44        -8110 24
2192   72   44     -9.01E+3 20
2193   72   44     -9.01E+3 20
2194   71   44      -8.59E+3 3
2195   71   44      -8.59E+3 3
2196   71   44      -8.59E+3 3
2197   78   44      -1.18E+4 7
2198   78   44      -1.18E+4 7
2199   78   44      -1.18E+4 7
2200   77   44      -1.14E+4 6
2201   77   44      -1.14E+4 6
2202   77   44      -1.14E+4 6
2203   79   44      -1.24E+4 6
2204   79   44      -1.24E+4 6
2205   79   44      -1.24E+4 6
2206   74   44       -9.7E+3 4
2207   74   44       -9.7E+3 4
2208   74   44       -9.7E+3 4
2209   73   44       -9.3E+3 5
2210   73   44       -9.3E+3 5
2211   76   44      -1.09E+4 6
2212   76   44      -1.09E+4 6
2213   75   44      -1.00E+4 5
2214   75   44      -1.00E+4 5
2215   75   44      -1.00E+4 5
2216   75   44      -1.00E+4 5
2217   61   44      -4839.5 25
2218   60   44         10781 9
2219   67   44        -6665 13
2220   66   44        -6370 13
2221   69   44      -7.63E+3 4
2222   69   44      -7.63E+3 4
2223   68   44        -7306 13
2224   63   44        -5333 13
2225   62   44        -5187 10
2226   65   44        -5833 13
2227   64   44        -5743 12
2228   59   44       -3722.0 5
2229   50   44         -4836 5
2230   56   44        9188.5 9
2231   55   44          8482 3
2232   58   44        10051 24
2233   57   44       9226.1 14
2234   52   44          7348 5
2235   51   44        -3674 11
2236   54   44          8289 8
2237   53   44         -1738 3
2238   49   44         -4627 4
2239   49   44         -4627 4
2240   49   44         -4627 4
2241   49   44         -4627 4
2242   48   44         -4040 5
2243   45   44      -3.28E+3 3
2244   45   44      -3.28E+3 3
2245   44   44       -2.6E+3 4
2246   44   44       -2.6E+3 4
2247   47   44         -3780 4
2248   47   44         -3780 4
2249   47   44         -3780 4
2250   47   44         -3780 4
2251   46   44         -3198 5
2252   41   44       -1.6E+3 7
2253   41   44       -1.6E+3 7
2254   41   44       -1.6E+3 7
2255   43   44       -1.8E+3 6
2256   42   44       -1.8E+3 6
2257   42   44       -1.8E+3 6
2258   82   45            0 0
2259   82   45            0 0
2260   82   45            0 0
2261   81   45      -1.33E+4 6
2262   81   45      -1.33E+4 6
2263   81   45      -1.33E+4 6
2264   83   45            0 0
2265   80   45      -1.27E+4 7
2266   80   45      -1.27E+4 7
2267   80   45      -1.27E+4 7
2268   71   45      -7.90E+3 7
2269   71   45      -7.90E+3 7
2270   70   45        -7629 13
2271   73   45       -8.7E+3 4
2272   73   45       -8.7E+3 4
2273   72   45        -8510 10
2274   79   45      -1.21E+4 6
2275   79   45      -1.21E+4 6
2276   79   45      -1.21E+4 6
2277   78   45      -1.14E+4 6
2278   78   45      -1.14E+4 6
2279   78   45      -1.14E+4 6
2280   75   45       -9.8E+3 4
2281   75   45       -9.8E+3 4
2282   75   45       -9.8E+3 4
2283   74   45     -9.45E+3 20
2284   74   45     -9.45E+3 20
2285   77   45      -1.10E+4 5
2286   77   45      -1.10E+4 5
2287   77   45      -1.10E+4 5
2288   77   45      -1.10E+4 5
2289   76   45      -1.05E+4 7
2290   76   45      -1.05E+4 7
2291   60   45        -3932 24
2292   60   45        -3932 24
2293   62   45        -4685 16
2294   61   45        -4215 10
2295   61   45        -4215 10
2296   68   45        -6909 12
2297   67   45      -6.23E+3 4
2298   67   45      -6.23E+3 4
2299   69   45      -7.10E+3 7
2300   69   45      -7.10E+3 7
2301   64   45      -5.14E+3 4
2302   63   45      -4.96E+3 3
2303   63   45      -4.96E+3 3
2304   63   45      -4.96E+3 3
2305   66   45        -5979 11
2306   65   45        -5477 22
2307   65   45        -5477 22
2308   51   45        -3187 10
2309   51   45        -3187 10
2310   51   45        -3187 10
2311   50   45         -4779 5
2312   50   45         -4779 5
2313   50   45         -4779 5
2314   57   45         -2776 7
2315   57   45         -2776 7
2316   57   45         -2776 7
2317   57   45         -2776 7
2318   56   45         -2613 7
2319   56   45         -2613 7
2320   56   45         -2613 7
2321   59   45         -3363 3
2322   59   45         -3363 3
2323   59   45         -3363 3
2324   59   45         -3363 3
2325   58   45       6214.2 23
2326   58   45      -3128.8 25
2327   53   45        -1442 13
2328   53   45        -1442 13
2329   53   45        -1442 13
2330   52   45      -1.42E+3 4
2331   52   45      -1.42E+3 4
2332   52   45      -1.42E+3 4
2333   55   45        -2194 19
2334   55   45        -2194 19
2335   55   45        -2194 19
2336   54   45        -1988 20
2337   54   45        -1988 20
2338   54   45        -1988 20
2339   49   45         -4608 4
2340   49   45         -4608 4
2341   49   45         -4608 4
2342   46   45       -3.3E+3 3
2343   46   45       -3.3E+3 3
2344   46   45       -3.3E+3 3
2345   46   45       -3.3E+3 3
2346   45   45       -2.5E+3 4
2347   45   45       -2.5E+3 4
2348   48   45         -4042 5
2349   47   45         -3754 6
2350   47   45         -3754 6
2351   47   45         -3754 6
2352   44   45       -2.2E+3 5
2353   44   45       -2.2E+3 5
2354   43   45       -1.6E+3 6
2355   83   46       1.78E+4 7
2356   82   46      -1.32E+4 8
2357   82   46      -1.32E+4 8
2358   82   46      -1.32E+4 8
2359   85   46            0 0
2360   84   46            0 0
2361   81   46      -1.31E+4 7
2362   81   46      -1.31E+4 7
2363   80   46      -1.24E+4 6
2364   80   46      -1.24E+4 6
2365   80   46      -1.24E+4 6
2366   80   46      -1.24E+4 6
2367   80   46      -1.24E+4 6
2368   80   46      -1.24E+4 6
2369   72   46         -7592 4
2370   71   46      -6.98E+3 4
2371   74   46         -8636 4
2372   74   46         -8636 4
2373   73   46      -7.73E+3 3
2374   70   46        -6625 12
2375   79   46      -1.18E+4 6
2376   79   46      -1.18E+4 6
2377   76   46    -1.004E+4 20
2378   76   46    -1.004E+4 20
2379   75   46       -9.1E+3 4
2380   75   46       -9.1E+3 4
2381   78   46      -1.11E+4 5
2382   78   46      -1.11E+4 5
2383   77   46      -1.08E+4 8
2384   77   46      -1.08E+4 8
2385   61   46      -3530.4 13
2386   61   46      -3530.4 13
2387   60   46       9345.2 24
2388   63   46         -4097 3
2389   63   46         -4097 3
2390   62   46         9949 12
2391   69   46        -6065 17
2392   69   46        -6065 17
2393   69   46        -6065 17
2394   68   46        -5843 11
2395   65   46         -4548 9
2396   65   46         -4548 9
2397   65   46         -4548 9
2398   64   46         10621 4
2399   67   46        -5277 11
2400   67   46        -5277 11
2401   66   46        -5085 11
2402   50   46         -4307 5
2403   52   46         -1162 6
2404   51   46         -3014 5
2405   58   46          8652 3
2406   57   46       -2256.5 8
2407   59   46          8748 3
2408   54   46        -1557 18
2409   53   46        -1150 11
2410   56   46          7780 6
2411   55   46         -1736 5
2412   47   46       -3.0E+3 4
2413   47   46       -3.0E+3 4
2414   46   46       -2.9E+3 5
2415   49   46         -4151 4
2416   49   46         -4151 4
2417   49   46         -4151 4
2418   49   46         -4151 4
2419   48   46         -3643 6
2420   45   46       -2.9E+3 6
2421   44   46        1.3E+3 5
2422   85   47       -9.5E+3 6
2423   85   47       -9.5E+3 6
2424   85   47       -9.5E+3 6
2425   86   47            0 0
2426   83   47      -1.11E+4 7
2427   83   47      -1.11E+4 7
2428   83   47      -1.11E+4 7
