        n    z      alpha(keV)
230    19   10    -1.135E+4 22
231    20   10      -1.38E+4 3
232    20   10      -1.38E+4 3
233    20   10      -1.38E+4 3
234    20   10      -1.38E+4 3
235    21   10      -1.59E+4 6
236    21   10      -1.59E+4 6
237    22   10      -1.75E+4 9
238    22   10      -1.75E+4 9
239    22   10      -1.75E+4 9
240    22   10      -1.75E+4 9
241    23   10            0 0
242    24   10            0 0
243    24   10            0 0
244    24   10            0 0
245    24   10            0 0
246     9   10       -3528.5 5
247     7   10        -9040 10
248     7   10        -9040 10
249     7   10        -9040 10
250     8   10       -5115.1 4
251     5   10       -9.6E+2 8
252     6   10       -10451 24
253     9   11         -6250 5
254     9   11         -6250 5
255     8   11        -6062 18
256     7   11     -9.35E+3 10
257     6   11      -3.44E+3 6
258    21   11    -1.719E+4 13
259    21   11    -1.719E+4 13
260    21   11    -1.719E+4 13
261    21   11    -1.719E+4 13
262    20   11    -1.531E+4 12
263    20   11    -1.531E+4 12
264    20   11    -1.531E+4 12
265    20   11    -1.531E+4 12
266    23   11      -1.97E+4 8
267    23   11      -1.97E+4 8
268    23   11      -1.97E+4 8
269    23   11      -1.97E+4 8
270    22   11      -1.88E+4 7
271    22   11      -1.88E+4 7
272    22   11      -1.88E+4 7
273    22   11      -1.88E+4 7
274    25   11            0 0
275    24   11      -2.14E+4 9
276    24   11      -2.14E+4 9
277    24   11      -2.14E+4 9
278    24   11      -2.14E+4 9
279    27   11            0 0
280    26   11            0 0
281    26   11            0 0
282    26   11            0 0
283    26   11            0 0
284    28   11            0 0
285    10   11       -6561.5 3
286    12   11     8794.109 18
287    11   11       -8479.4 5
288    14   11     -11735.1 22
289    13   11     -10825.35 3
290    13   11     -10825.35 3
291    13   11     -10825.35 3
292    16   11     -1.123E+4 3
293    16   11     -1.123E+4 3
294    15   11       -12079 13
295    18   11    -1.108E+4 10
296    18   11    -1.108E+4 10
297    18   11    -1.108E+4 10
298    17   11    -1.096E+4 10
299    17   11    -1.096E+4 10
300    19   11    -1.262E+4 11
301    19   11    -1.262E+4 11
302    19   11    -1.262E+4 11
303    19   11    -1.262E+4 11
304    11   12     -9650.64 16
305    10   12       -8142.5 4
306    13   12      12063.85 5
307    12   12    11692.696 13
308    15   12    -11857.47 11
309    14   12      14145.7 12
310    17   12     -1.100E+4 3
311    16   12      -11493.2 6
312    19   12     -1.260E+4 9
313    19   12     -1.260E+4 9
314    18   12       -11787 18
315    18   12       -11787 18
316    20   12    -1.455E+4 13
317    20   12    -1.455E+4 13
318    22   12      -1.74E+4 3
319    22   12      -1.74E+4 3
320    22   12      -1.74E+4 3
321    21   12    -1.586E+4 15
322    21   12    -1.586E+4 15
323    21   12    -1.586E+4 15
324    24   12      -1.90E+4 9
325    24   12      -1.90E+4 9
326    24   12      -1.90E+4 9
327    24   12      -1.90E+4 9
328    23   12      -1.80E+4 4
329    23   12      -1.80E+4 4
330    23   12      -1.80E+4 4
331    23   12      -1.80E+4 4
332    26   12      -2.12E+4 7
333    26   12      -2.12E+4 7
334    26   12      -2.12E+4 7
335    26   12      -2.12E+4 7
336    25   12      -2.03E+4 9
337    25   12      -2.03E+4 9
338    25   12      -2.03E+4 9
339    25   12      -2.03E+4 9
340    28   12            0 0
341    28   12            0 0
342    28   12            0 0
343    28   12            0 0
344     9   12       -8021.5 8
345     9   12       -8021.5 8
346     9   12       -8021.5 8
