z,n,levelEnergy(MeV),spinAndParity,massExcess(keV),halflife,decayMode,betaMinus(keV),electronCapture(keV),positronEmission(keV),neutronSeparationEnergy(keV),protonSeparationEnergy(keV),alpha(keV),deltaAlpha(keV),twoNeutronSeparationEnergy(keV),twoProtonSeparationEnergy(keV),doubleBetaMinus(keV),doubleElectronCapture(keV),electronCaptureOneProtonEmission(keV),betaMinusOneNeutronEmission(keV),betaMinusTwoNeutronEmission(keV),bindingEnergy(keV),bindingEnergyLDMFit(keV),pairingGap(keV),firstExcitedStateEnergy(keV),firstTwoPlusEnergy(keV),firstThreeMinusEnergy(keV),firstFourPlusEnergy(keV),firstFourPlusOverFirstTwoPlusEnergy,quadrupoleDeformation,BE4DBE2,thermalNeutronCapture(Barns),thermalNeutronFission(Barns),FY235U,FY239Pu,FY252Cf,
3,0,,,2.87E+4 20,,P ? ,,1.37E+4 20,1.27E+4 20,,,,,,-6.8E+3 20,,1.37E+4 20,8.2E+3 20,,,-2.3E+3 7,-1.88E+4 7,,,,,,,,,,,,,
3,1,0.0,2-,2.532E+4 21,6.03 mev ,P = 100.00,,2.290E+4 21,2.188E+4 21,1.14E+4 20,-3.10E+3 21,,,,2.39E+3 21,,7.0E+2 23,3.08E+3 21,,,1.15E+3 5,-4.72E+3 5,5.1E+3 10,320,,,,,,,,,,,
3,2,0.0,3/2-,1.168E+4 5,AP 1.5 mev ,A = 100.00,-2.55E+4 20,4.5E+2 5,-5.7E+2 5,2.172E+4 22,-1.96E+3 5,1.96E+3 5,-1.83E+3 4,3.31E+4 20,1.785E+4 5,,-2.121E+4 10,-2.023E+4 11,,,5266 10,-1387 10,8.03E+3 11,,,,,,,,,,,,
3,2,0.0,3/2-,1.168E+4 5,AP 1.5 mev ,P = 100.00,-2.55E+4 20,4.5E+2 5,-5.7E+2 5,2.172E+4 22,-1.96E+3 5,1.96E+3 5,-1.83E+3 4,3.31E+4 20,1.785E+4 5,,-2.121E+4 10,-2.023E+4 11,,,5266 10,-1387 10,8.03E+3 11,,,,,,,,,,,,
3,3,0.0,1+,14086.8804 14,STABLE,,,-4288 5,-3505.21 5,-4527.21 5,5.66E+3 5,4433 20,-1473.7583 15,-1493.714 8,2.738E+4 21,2.511E+4 10,-3.32E+4 20,-2.78E+4 3,-2.609E+4 9,-3.11E+4 20,,5332.3312 3,-602.3796 3,7.9E+2 3,2186 2,,,,,,3.851268E-2,,,,
3,4,0.0,3/2-,14907.105 4,STABLE,,,-861.89 7,-11166 8,-12188 8,7251.094 5,9973.96 5,-2467.622 4,-3098.345 7,1.291E+4 5,3.256E+4 9,-1.277E+4 3,-3.42E+4 10,-3.43E+4 3,-11539 5,-38374.531 6,5606.4401 6,65.5525 6,2609.237 24,477.612 3,,,,,,4.541672E-2,,,,
3,5,0.0,2+,20945.81 5,839.9 ms 9,B- = 100.00,16004.13 6,-10663.88 10,-11685.88 10,2032.62 5,12416 8,-6.10E+3 10,-1.95E+3 5,9283.71 5,3.55E+4 3,-1975.8 10,,-3.55E+4 10,-2894.51 9,-13571.87 7,5159.712 6,-537.409 6,1014.80 10,980.80 10,,,,,,,,,,,
3,5,0.0,2+,20945.81 5,839.9 ms 9,BA = 100.00,16004.13 6,-10663.88 10,-11685.88 10,2032.62 5,12416 8,-6.10E+3 10,-1.95E+3 5,9283.71 5,3.55E+4 3,-1975.8 10,,-3.55E+4 10,-2894.51 9,-13571.87 7,5159.712 6,-537.409 6,1014.80 10,980.80 10,,,,,,,,,,,
3,6,0.0,3/2-,24954.91 19,178.3 ms 4,B- = 100.00,13606.45 20,-1.598E+4 5,-1.700E+4 5,4062.22 19,13943.75 21,-1.036E+4 9,-2.3E+2 4,6094.84 19,3.88E+4 10,12538.4 9,,,11941.92 19,-6956.7 3,5037.769 21,-614.656 21,2044 6,2691 5,,,,,,,,,,,
3,6,0.0,3/2-,24954.91 19,178.3 ms 4,BN ? 50.00,13606.45 20,-1.598E+4 5,-1.700E+4 5,4062.22 19,13943.75 21,-1.036E+4 9,-2.3E+2 4,6094.84 19,3.88E+4 10,12538.4 9,,,11941.92 19,-6956.7 3,5037.769 21,-614.656 21,2044 6,2691 5,,,,,,,,,,,
