Z,N,Halflife,Alpha,DeltaAlpha,Intens,DeltaIntens
91,137,79200,6052,3,0.014,20
91,137,79200,6065,2,0.02,4
91,137,79200,6076,2,0.39,4
91,137,79200,6089,2,0.044,7
91,137,79200,6104,2,0.23,3
91,137,79200,6117,2,0.198,22
91,137,79200,6126,3,0.02,3
91,138,129600,5320,5,2.40E-04,19
91,138,129600,5320,5,2.40E-04,19
91,138,129600,5413,5,4.80E-04,0
91,138,129600,5413,5,4.80E-04,0
91,138,129600,5422,0,3.40E-04,10
91,138,129600,5422,0,3.40E-04,10
91,138,129600,5479,5,0.0082,0
91,138,129600,5479,5,0.0082,0
91,138,129600,5501,5,0.0034,0
91,138,129600,5501,5,0.0034,0
91,138,129600,5517,5,0.0029,0
91,138,129600,5517,5,0.0029,0
91,138,129600,5536,5,0.041,0
91,138,129600,5536,5,0.041,0
91,138,129600,5565,5,0.0187,0
91,138,129600,5565,5,0.0187,0
91,138,129600,5580,5,0.173,0
91,138,129600,5580,5,0.173,0
91,138,129600,5591,5,0.0221,0
91,138,129600,5591,5,0.0221,0
91,138,129600,5615,5,0.064,0
91,138,129600,5615,5,0.064,0
91,138,129600,5630,5,0.047,0
91,138,129600,5630,5,0.047,0
91,138,129600,5656,4,5.00E-04,5
91,138,129600,5658,0,5.00E-04,5
91,138,129600,5670,5,0.089,0
91,138,129600,5670,5,0.089,0
91,138,129600,5695,5,9.60E-04,0
91,138,129600,5695,5,9.60E-04,0
91,138,129600,5703,4,5.00E-04,5
91,138,129600,5705,5,5.00E-04,5
91,138,129600,5733,4,0.0012,12
91,138,129600,5734,5,0.0012,12
91,139,1503359.1,4766,2,6.00E-06,3
91,139,1503359.1,4798,5,9.60E-07,10
91,139,1503359.1,4934,3,1.30E-05,6
91,139,1503359.1,4973,2,2.20E-05,6
91,139,1503359.1,5060,3,1.30E-05,6
91,139,1503359.1,5084,2,2.20E-05,6
91,139,1503359.1,5119,3,1.90E-05,6
91,139,1503359.1,5153,2,1.30E-05,3
91,139,1503359.1,5183,3,1.60E-05,6
91,139,1503359.1,5216.6,15,1.60E-05,3
91,139,1503359.1,5268.4,7,1.12E-04,16
91,139,1503359.1,5275.6,7,9.60E-05,16
91,139,1503359.1,5287.4,15,1.00E-04,3
91,139,1503359.1,5300.5,7,5.40E-04,10
91,139,1503359.1,5312,7,4.20E-04,10
91,139,1503359.1,5326.2,7,5.80E-04,10
91,139,1503359.1,5339.7,10,4.80E-04,16
91,139,1503359.1,5344.7,7,7.40E-04,16
91,140,1.03E+12,4410,10,0.0127,5
91,140,1.03E+12,4508,2,0.00365,25
91,140,1.03E+12,4566,2,0.0019,4
91,140,1.03E+12,4599,2,0.0153,18
91,140,1.03E+12,4632,2,0.075,9
91,140,1.03E+12,4643,2,0.082,7
91,140,1.03E+12,4681,2,1.5,0
91,140,1.03E+12,4713,2,1.268,21
91,140,1.03E+12,4736,8,8.4,0
91,140,1.03E+12,4795,2,0.183,13
91,140,1.03E+12,4853,2,1.4,0
91,140,1.03E+12,4900,2,0.002,0
91,140,1.03E+12,4934,2,3,0
91,140,1.03E+12,4951.3,14,22.8,0
91,140,1.03E+12,4975,2,0.4,0
91,140,1.03E+12,4986,2,1.4,0
91,140,1.03E+12,5013.8,14,25.4,0
91,140,1.03E+12,5028.4,10,20,0
91,140,1.03E+12,5032,2,2.5,25
91,140,1.03E+12,5058.6,15,11,0
92,124,7.00E-04,10582,30,100,0
92,124,0.0045,8372,30,100,0
92,125,0.016,8018,14,100,0
92,126,5.10E-04,8612,9,100,0
92,126,5.60E-04,10678,17,100,0
92,127,4.20E-05,9774,18,100,0
92,129,6.60E-07,9710,50,100,0
92,130,4.70E-06,9310,50,100,0
92,132,3.96E-04,8095,11,3.4,8
92,132,3.96E-04,8479,8,96.6,8
92,133,0.069,7630,20,2,10
92,133,0.069,7820,20,15,7
92,133,0.069,7867,6,83,7
92,134,0.35,7387,7,15,5
92,134,0.35,7566,4,85,11
92,135,66,6740,50,16,4
92,135,66,6860,30,50,6
92,135,66,6905,60,14,3
92,135,66,7060,60,20,20
92,136,546,6409,0,0.55,20
92,136,546,6442,0,0.64,11
92,136,546,6590,10,28,4
92,136,546,6680,10,68,4
92,137,3480,6185,3,0.2,10
92,137,3480,6223,3,0.6,21
92,137,3480,6260,3,0.2,10
92,137,3480,6297,3,2.2,3
92,137,3480,6332,3,4,6
92,137,3480,6360,6,12.8,18
92,138,1797120,5056,2,6.90E-05,7
92,138,1797120,5097.1,4,3.00E-04,3
92,138,1797120,5445.8,9,2.50E-04,3
92,138,1797120,5448.7,10,7.00E-05,7
92,138,1797120,5533,2,1.00E-04,10
92,138,1797120,5543,1,5.40E-04,5
92,138,1797120,5586,7,0.0115,10
92,138,1797120,5662.4,7,0.26,3
92,138,1797120,5667,7,0.38,4
92,138,1797120,5817.5,7,32,20
92,138,1797120,5888.4,7,67.4,4
92,139,362880,5167,0,8.80E-06,0
92,139,362880,5196,0,3.10E-05,0
92,139,362880,5252,0,8.00E-06,0
92,139,362880,5255,0,2.00E-06,5
92,139,362880,5283,0,1.20E-05,0
92,139,362880,5299,0,1.60E-05,0
92,139,362880,5355,0,2.70E-05,0
92,139,362880,5383,0,2.20E-04,0
92,139,362880,5394,0,5.60E-05,15
92,139,362880,5404,4,8.40E-04,0
92,139,362880,5408,0,6.00E-06,6
92,139,362880,5443,0,2.40E-05,6
92,139,362880,5456,3,0.0017,0
92,139,362880,5471,3,0.0011,0
92,139,362880,5480,0,2.80E-05,8
92,140,2.17E+09,4460.94,0,3.90E-06,9
92,140,2.17E+09,4502.8,0,2.10E-05,20
92,140,2.17E+09,4810.04,0,5.60E-05,3
92,140,2.17E+09,4931.04,0,4.80E-05,4
92,140,2.17E+09,4948.63,0,5.10E-05,5
92,140,2.17E+09,4997.94,0,0.00616,8
92,140,2.17E+09,5139,20,0.3,20
92,140,2.17E+09,5263.36,9,31.55,23
92,140,2.17E+09,5320.12,14,68.15,23
92,141,5.02E+12,4309,2,9.00E-04,0
92,141,5.02E+12,4404,2,3.00E-04,0
92,141,5.02E+12,4411,2,4.00E-04,0
92,141,5.02E+12,4457,2,0.0028,0
92,141,5.02E+12,4465,2,0.003,0
92,141,5.02E+12,4483,2,0.0014,0
92,141,5.02E+12,4503,2,0.001,0
92,141,5.02E+12,4507,2,0.012,0
92,141,5.02E+12,4513,2,0.018,0
92,141,5.02E+12,4538,2,0.004,0
92,141,5.02E+12,4565,2,0.0023,0
92,141,5.02E+12,4590,2,0.007,0
92,141,5.02E+12,4611,2,0.006,0
92,141,5.02E+12,4615,2,0.004,0
92,141,5.02E+12,4634,2,0.01,0
92,141,5.02E+12,4641,2,0.003,0
92,141,5.02E+12,4656,2,0.005,5
92,141,5.02E+12,4664,2,0.042,0
92,141,5.02E+12,4681,0,0.01,0
92,141,5.02E+12,4687,2,0.0028,0
92,141,5.02E+12,4701,2,0.06,0
92,141,5.02E+12,4729,2,1.61,0
92,141,5.02E+12,4751,2,0.01,0
92,141,5.02E+12,4754,2,0.163,0
92,141,5.02E+12,4758,2,0.016,0
92,141,5.02E+12,4783.5,12,13.2,0
92,141,5.02E+12,4796,2,0.28,0
92,141,5.02E+12,4824.2,12,84.3,6
92,142,7.75E+12,4108.6,15,7.00E-06,7
92,142,7.75E+12,4150.6,15,2.60E-05,9
92,142,7.75E+12,4277.3,9,4.00E-05,10
92,142,7.75E+12,4603.5,15,0.2,10
92,142,7.75E+12,4722.4,14,28.42,9
92,142,7.75E+12,4774.6,14,71.38,16
92,143,2.22E+16,3976,5,0.007,7
92,143,2.22E+16,4080.6,40,0.016,12
92,143,2.22E+16,4153,3,0.297,18
92,143,2.22E+16,4215.8,5,6.01,16
92,143,2.22E+16,4219,6,0.9,9
92,143,2.22E+16,4248,5,0.07,10
92,143,2.22E+16,4266.2,22,0.22,3
92,143,2.22E+16,4282.9,24,0.11,4
92,143,2.22E+16,4295,0,0.009,9
92,143,2.22E+16,4322.9,6,3.52,19
92,143,2.22E+16,4364.3,4,18.92,14
92,143,2.22E+16,4395.4,4,57.73,24
92,143,2.22E+16,4414.9,5,3.09,6
92,143,2.22E+16,4438.5,5,0.24,3
92,143,2.22E+16,4502.5,7,1.28,4
92,143,2.22E+16,4556.1,4,3.82,6
92,143,2.22E+16,4597.4,4,4.77,7
92,144,7.39E+14,4168,0,1.40E-04,5
92,144,7.39E+14,4332,8,0.15,20
92,144,7.39E+14,4445,5,26,4
92,144,7.39E+14,4494,3,74,4
92,146,1.41E+17,4038,5,0.078,12
92,146,1.41E+17,4151,5,21,3
92,146,1.41E+17,4198,3,79,3
93,133,0.035,8000,20,50,15
93,133,0.035,8060,20,50,15
93,136,240,6893,23,68,0
93,142,3.42E+07,4809,7,2.60E-06,3
93,142,3.42E+07,4862,3,1.80E-05,3
93,142,3.42E+07,4925,2,2.99E-04,20
93,142,3.42E+07,4940,6,1.56E-05,17
93,142,3.42E+07,4997,4,1.56E-04,17
93,142,3.42E+07,5007,0,7.00E-06,7
93,142,3.42E+07,5008,4,6.20E-04,21
93,142,3.42E+07,5025,2,0.00138,22
93,142,3.42E+07,5051,2,4.70E-05,8
93,142,3.42E+07,5100,3,5.20E-06,0
93,142,3.42E+07,5108,3,3.90E-05,6
93,144,6.77E+13,4515.1,19,0.035,4
93,144,6.77E+13,4573,3,0.048,23
93,144,6.77E+13,4578.6,14,0.369,23
93,144,6.77E+13,4594.9,20,0.085,0
93,144,6.77E+13,4599.1,18,0.371,9
93,144,6.77E+13,4619.7,21,0.032,8
93,144,6.77E+13,4640,10,6.43,3
93,144,6.77E+13,4659.1,20,0.3,3
93,144,6.77E+13,4665,9,3.478,24
93,144,6.77E+13,4698.2,8,0.535,10
93,144,6.77E+13,4708.3,20,0.6,6
93,144,6.77E+13,4712.3,20,0.6,6
93,144,6.77E+13,4741.3,20,0.019,0
93,144,6.77E+13,4766.5,8,9.3,3
93,144,6.77E+13,4771.4,8,23.2,3
93,144,6.77E+13,4788,9,47.64,6
93,144,6.77E+13,4803.5,10,2.014,17
93,144,6.77E+13,4816.8,10,2.43,17
93,144,6.77E+13,4866.4,14,0.53,4
93,144,6.77E+13,4872.7,14,2.39,4
94,136,102,6999,15,19,4
94,136,102,7057,10,81,9
94,138,1986,6542,10,7.6,23
94,138,1986,6600,10,15,4
94,140,31680,6031,0,0.024,0
94,140,31680,6151,0,1.9,0
94,140,31680,6202,0,4.1,0
94,141,1518,5850,20,0.0022,5
94,142,9.02E+07,4816.4,0,1.53E-05,0
94,142,9.02E+07,4856,0,1.33E-05,0
94,142,9.02E+07,4915.4,0,1.21E-05,6
94,142,9.02E+07,4948.2,0,6.00E-07,0
94,142,9.02E+07,5033.5,0,2.46E-06,0
94,142,9.02E+07,5045.5,0,1.30E-05,10
94,142,9.02E+07,5087.9,0,5.80E-04,10
94,142,9.02E+07,5214,0,2.60E-04,10
94,142,9.02E+07,5236.1,0,1.30E-05,20
94,142,9.02E+07,5450.4,0,0.00185,0
94,142,9.02E+07,5613.7,0,0.23,0
94,142,9.02E+07,5720.87,10,30.8,3
94,142,9.02E+07,5767.53,8,69.1,3
94,143,3925152,5089.1,31,2.10E-05,3
94,143,3925152,5147.1,24,2.30E-04,3
94,143,3925152,5296.9,24,5.10E-04,7
94,143,3925152,5329.9,24,0.0019,3
94,143,3925152,5351.8,24,7.30E-04,10
94,143,3925152,5495.5,24,3.20E-05,4
94,143,3925152,5558.6,24,1.18E-04,16
94,143,3925152,5610.3,23,2.70E-04,4
94,143,3925152,5650.6,23,2.80E-04,4
94,144,2.77E+09,4430.7,4,1.10E-06,11
94,144,2.77E+09,4470.8,3,1.20E-06,20
94,144,2.77E+09,4524.9,4,7.00E-08,7
94,144,2.77E+09,4565.8,3,2.50E-07,8
94,144,2.77E+09,4590,0,1.20E-05,0
94,144,2.77E+09,4661,0,5.93E-06,23
94,144,2.77E+09,4662.6,4,9.00E-08,4
94,144,2.77E+09,4704,0,5.00E-05,0
94,144,2.77E+09,4724,0,2.20E-05,0
94,144,2.77E+09,5015,0,6.80E-06,4
94,144,2.77E+09,5205.6,0,0.003,10
94,144,2.77E+09,5357.7,0,0.105,5
94,144,2.77E+09,5456.3,3,28.98,10
94,144,2.77E+09,5499.03,20,70.91,10
94,145,7.61E+11,4059,0,2.10E-08,4
94,145,7.61E+11,4117,0,9.30E-08,8
94,145,7.61E+11,4181,0,5.60E-08,7
94,145,7.61E+11,4187,0,7.60E-08,7
94,145,7.61E+11,4202,0,4.00E-08,5
94,145,7.61E+11,4204.5,0,6.10E-08,4
94,145,7.61E+11,4280,0,1.90E-07,10
94,145,7.61E+11,4306,0,1.00E-07,10
94,145,7.61E+11,4326,0,4.18E-08,3
94,145,7.61E+11,4327,0,2.30E-07,10
94,145,7.61E+11,4349,0,3.00E-07,4
94,145,7.61E+11,4364.5,0,8.30E-08,6
94,145,7.61E+11,4380,0,2.50E-05,8
94,145,7.61E+11,4390,0,1.00E-06,10
94,145,7.61E+11,4392,0,7.07E-07,23
94,145,7.61E+11,4400.3,0,1.03E-05,13
94,145,7.61E+11,4408,0,1.00E-07,20
94,145,7.61E+11,4419,0,3.30E-07,3
94,145,7.61E+11,4448.5,0,2.13E-06,9
94,145,7.61E+11,4464.7,0,1.15E-05,4
94,145,7.61E+11,4467.4,0,6.90E-06,10
94,145,7.61E+11,4497,0,1.50E-08,15
94,145,7.61E+11,4503,0,5.37E-06,9
94,145,7.61E+11,4510,20,8.00E-05,3
94,145,7.61E+11,4529.6,0,3.19E-06,3
94,145,7.61E+11,4534,0,2.82E-06,5
94,145,7.61E+11,4559,0,1.20E-05,5
94,145,7.61E+11,4632,3,7.00E-04,20
94,145,7.61E+11,4655,0,2.80E-06,6
94,145,7.61E+11,4691,3,5.00E-04,20
94,145,7.61E+11,4718.5,0,4.00E-05,10
94,145,7.61E+11,4736,3,0.0051,8
94,145,7.61E+11,4749,5,6.00E-04,6
94,145,7.61E+11,4769,5,0.0015,6
94,145,7.61E+11,4795,4,0.0012,6
94,145,7.61E+11,4824,0,2.20E-05,20
94,145,7.61E+11,4828,3,0.0024,7
94,145,7.61E+11,4866,5,0.0019,7
94,145,7.61E+11,4871,5,7.00E-04,3
94,145,7.61E+11,4912,5,0.0024,9
94,145,7.61E+11,4934,3,0.006,10
94,145,7.61E+11,4960,5,0.007,10
94,145,7.61E+11,4987,3,0.013,20
94,145,7.61E+11,5006,5,0.017,20
94,145,7.61E+11,5028,3,0.009,3
94,145,7.61E+11,5054,5,0.047,13
94,145,7.61E+11,5076,5,0.078,8
94,145,7.61E+11,5105.5,8,11.94,7
94,145,7.61E+11,5111,0,0.01,10
94,145,7.61E+11,5144.3,8,17.11,14
94,145,7.61E+11,5156.59,14,70.77,14
94,145,7.61E+11,5156.7,0,0.03,3
94,146,2.07E+11,4217.3,0,3.00E-08,3
94,146,2.07E+11,4224.1,0,3.00E-08,3
94,146,2.07E+11,4226.1,0,5.00E-08,5
94,146,2.07E+11,4264.38,21,5.90E-07,7
94,146,2.07E+11,4436.4,0,1.30E-08,7
94,146,2.07E+11,4492.07,17,2.00E-05,10
94,146,2.07E+11,4654.69,16,4.60E-05,5
94,146,2.07E+11,4863.6,15,0.00106,3
94,146,2.07E+11,5021.23,15,0.084,3
94,146,2.07E+11,5123.68,23,27.1,10
94,146,2.07E+11,5168.17,15,72.8,10
94,147,4.51E+08,4692,6,7.40E-07,7
94,147,4.51E+08,4732,0,7.40E-07,7
94,147,4.51E+08,4742,5,1.72E-06,17
94,147,4.51E+08,4783,5,4.90E-06,25
94,147,4.51E+08,4797,3,3.43E-05,25
94,147,4.51E+08,4852.9,11,2.96E-04,5
94,147,4.51E+08,4895.9,11,0.002038,15
94,147,4.51E+08,4972,3,3.19E-05,25
94,147,4.51E+08,4999,4,1.00E-05,12
94,147,4.51E+08,5042,3,2.50E-05,0
94,147,4.51E+08,5055,5,8.57E-06,0
94,148,1.18E+13,4600.1,10,6.20E-04,3
94,148,1.18E+13,4756.2,10,0.0304,14
94,148,1.18E+13,4858.2,10,23.4,6
94,148,1.18E+13,4902.3,10,76.5,6
94,150,2.56E+15,4546,1,19.4,8
94,150,2.56E+15,4589,1,80.5,8
95,142,4416,6042,5,0.025,0
95,143,5880,5940,0,5.00E-05,5
95,144,42840,5680,2,1.98E-04,20
95,144,42840,5734,2,0.00138,14
95,144,42840,5774.2,15,0.0084,8
95,144,42840,5825,4,3.30E-05,4
95,145,182880,5286,3,2.30E-06,3
95,145,182880,5337,2,2.28E-05,24
95,145,182880,5378,1,1.65E-04,17
95,146,1.37E+10,4758,0,5.00E-06,5
95,146,1.37E+10,4800,0,8.60E-05,0
95,146,1.37E+10,4834,0,7.00E-04,0
95,146,1.37E+10,5004,0,1.00E-04,0
95,146,1.37E+10,5068,0,1.40E-04,0
95,146,1.37E+10,5089,0,4.00E-04,4
95,146,1.37E+10,5096,0,4.00E-04,4
95,146,1.37E+10,5114,0,4.00E-04,0
95,146,1.37E+10,5137,0,3.20E-04,0
95,146,1.37E+10,5155,0,7.00E-04,0
95,146,1.37E+10,5178,0,3.00E-04,0
95,146,1.37E+10,5182,0,9.00E-04,0
95,146,1.37E+10,5192,0,6.00E-04,0
95,146,1.37E+10,5217,0,1.00E-05,10
95,146,1.37E+10,5223,0,0.0013,0
95,146,1.37E+10,5244,0,0.0024,0
95,146,1.37E+10,5279,0,5.00E-04,0
95,146,1.37E+10,5322,0,0.015,5
95,146,1.37E+10,5388,0,1.66,20
95,146,1.37E+10,5416.5,0,0.01,10
95,146,1.37E+10,5442.8,13,13.1,3
95,146,1.37E+10,5469,0,0.02,20
95,146,1.37E+10,5485.56,12,84.8,5
95,146,1.37E+10,5511.5,0,0.225,5
95,146,1.37E+10,5544.5,16,0.37,3
95,147,4.45E+09,4974.7,0,9.20E-06,9
95,147,4.45E+09,5027.2,15,9.00E-05,5
95,147,4.45E+09,5068,3,0.0011,3
95,147,4.45E+09,5082,2,1.38E-04,0
95,147,4.45E+09,5091.8,6,1.00E-03,3
95,147,4.45E+09,5143,13,0.0257,11
95,147,4.45E+09,5153.1,15,9.18E-05,0
95,147,4.45E+09,5173.31,26,9.00E-05,9
95,147,4.45E+09,5175.3,10,9.00E-05,9
95,147,4.45E+09,5207.06,25,0.409,11
95,147,4.45E+09,5214.5,0,1.38E-04,0
95,147,4.45E+09,5248.01,25,0.003,3
95,147,4.45E+09,5248.12,26,0.003,3
95,147,4.45E+09,5249.5,26,9.00E-05,9
95,147,4.45E+09,5251.67,26,9.00E-05,9
95,147,4.45E+09,5272.85,25,0.005,5
95,147,4.45E+09,5314.83,25,0.0028,5
95,147,4.45E+09,5331.85,25,7.00E-04,5
95,147,4.45E+09,5367.61,25,0.005,9
95,147,4.45E+09,5410.03,25,0.0046,9
95,147,4.45E+09,5458.58,25,6.43E-04,0
95,147,4.45E+09,5517.79,0,1.40E-05,14
95,148,2.32E+11,4695,3,0.0017,5
95,148,2.32E+11,4919,3,8.50E-05,0
95,148,2.32E+11,4930,3,1.80E-04,0
95,148,2.32E+11,4946,3,3.40E-04,0
95,148,2.32E+11,4997,3,8.00E-04,8
95,148,2.32E+11,5008,3,8.00E-04,8
95,148,2.32E+11,5029,3,0.002,20
95,148,2.32E+11,5035,3,0.0015,15
95,148,2.32E+11,5088,5,0.0055,6
95,148,2.32E+11,5113,1,0.008,3
95,148,2.32E+11,5181,1,1.383,7
95,148,2.32E+11,5233.3,10,11.46,5
95,148,2.32E+11,5275.3,10,86.74,5
95,148,2.32E+11,5321,1,0.192,3
95,148,2.32E+11,5349.4,23,0.24,3
96,142,8640,6464,40,1.17,6
96,142,8640,6520,50,2.67,13
96,144,2332800,5989,0,0.01396,0
96,144,2332800,6147,0,0.05184,0
96,144,2332800,6247.7,5,28.8,8
96,144,2332800,6290.5,5,70.9,8
96,145,2833919.1,5687,3,0.0022,5
96,145,2833919.1,5719,3,8.00E-04,4
96,145,2833919.1,5785,3,7.00E-04,10
96,145,2833919.1,5863,3,0.0014,5
96,145,2833919.1,5884.7,6,0.118,12
96,145,2833919.1,5914,4,0.0012,5
96,145,2833919.1,5927.2,15,0.181,19
96,145,2833919.1,5939,6,0.69,7
96,145,2833919.1,5978,3,0.0028,8
96,145,2833919.1,6036,3,0.0012,4
96,145,2833919.1,6080.9,17,0.0015,5
96,146,1.41E+07,4869.43,23,5.20E-07,15
96,146,1.41E+07,4904.44,23,5.50E-07,15
96,146,1.41E+07,5005.64,19,3.10E-07,8
96,146,1.41E+07,5101.21,10,3.70E-06,8
96,146,1.41E+07,5111.1,3,1.00E-07,10
96,146,1.41E+07,5146.07,12,1.70E-06,4
96,146,1.41E+07,5165.95,16,1.13E-06,21
96,146,1.41E+07,5186.95,12,3.60E-05,7
96,146,1.41E+07,5366.22,15,2.20E-07,3
96,146,1.41E+07,5462.47,14,1.26E-05,24
96,146,1.41E+07,5517.75,11,2.50E-04,5
96,146,1.41E+07,5607.76,16,2.00E-05,0
96,146,1.41E+07,5816.39,11,0.0046,5
96,146,1.41E+07,5969.24,9,0.035,20
96,146,1.41E+07,6069.43,12,25.92,6
96,146,1.41E+07,6112.72,8,74.08,7
96,147,9.12E+08,5226,15,3.89E-04,0
96,147,9.12E+08,5267,3,0.0014957,0
96,147,9.12E+08,5316,3,9.97E-04,0
96,147,9.12E+08,5323,3,0.0029913,0
96,147,9.12E+08,5332,3,0.0029913,0
96,147,9.12E+08,5523,3,0.0019942,0
96,147,9.12E+08,5532,3,0.0059826,0
96,147,9.12E+08,5537,3,0.0019942,0
96,147,9.12E+08,5568,3,0.0069797,0
96,147,9.12E+08,5575,3,0.0069797,0
96,147,9.12E+08,5582,3,0.009,9
96,147,9.12E+08,5587,3,0.0199,20
96,147,9.12E+08,5593,3,0.009971,0
96,147,9.12E+08,5609,3,0.005,5
96,147,9.12E+08,5612,3,0.03,3
96,147,9.12E+08,5622,0,0.059826,0
96,147,9.12E+08,5639,3,0.13959,0
96,147,9.12E+08,5646,0,0.029913,0
96,147,9.12E+08,5682,3,0.19942,0
96,147,9.12E+08,5686,0,1.5954,0
96,147,9.12E+08,5742.1,9,11.5,5
96,147,9.12E+08,5785.2,9,73,23
96,147,9.12E+08,5876,3,0.69797,0
96,147,9.12E+08,5907,3,0.09971,0
96,147,9.12E+08,5991.8,15,5.68,20
96,147,9.12E+08,6010,0,1.0968,0
96,147,9.12E+08,6058,1,4.7,3
96,147,9.12E+08,6066.2,17,1.5,20
96,148,5.72E+08,4920,3,5.00E-05,5
96,148,5.72E+08,4960,3,1.49E-04,16
96,148,5.72E+08,5166.64,7,4.00E-06,3
96,148,5.72E+08,5215,3,5.60E-05,5
96,148,5.72E+08,5315,0,4.00E-05,0
96,148,5.72E+08,5513,3,0.00352,18
96,148,5.72E+08,5664,3,0.0204,15
96,148,5.72E+08,5762.64,3,23.1,10
96,148,5.72E+08,5804.77,5,76.9,10
96,149,2.66E+11,5119,0,0.002,20
96,149,2.66E+11,5151,0,0.0025,25
96,149,2.66E+11,5234.4,12,0.32,0
96,149,2.66E+11,5272.8,12,0.07,0
96,149,2.66E+11,5304.3,10,5,10
96,149,2.66E+11,5361.1,11,93.2,5
96,149,2.66E+11,5371.1,5,0.02,10
96,149,2.66E+11,5371.6,5,0.43,18
96,149,2.66E+11,5436.1,5,0.04,0
96,149,2.66E+11,5488.5,5,0.83,0
96,149,2.66E+11,5529,5,0.58,0
96,150,1.50E+11,5343.5,10,17.8,12
96,150,1.50E+11,5386.5,10,82.2,12
96,151,4.92E+14,4820,4,4.7,3
96,151,4.92E+14,4870,4,71,10
96,151,4.92E+14,4943,4,1.6,20
96,151,4.92E+14,4985,4,2,20
96,151,4.92E+14,5147,4,1.2,20
96,151,4.92E+14,5212,4,5.7,5
96,151,4.92E+14,5267,4,13.8,7
96,152,1.10E+13,4775.8,15,0.005,5
96,152,1.10E+13,4930.97,50,0.07,11
96,152,1.10E+13,5034.89,25,16.52,18
96,152,1.10E+13,5078.41,25,75,4
97,146,16200,6185,4,0.0059,10
97,146,16200,6213,4,0.0204,24
97,146,16200,6397,0,3.00E-04,4
97,146,16200,6449,5,0.0011,3
97,146,16200,6505,4,0.0104,15
97,146,16200,6545,4,0.029,4
97,146,16200,6577,4,0.038,5
97,146,16200,6608,5,0.00105,15
97,146,16200,6669,4,0.0018,3
97,146,16200,6721,4,0.0188,23
97,146,16200,6761,4,0.023,3
97,147,15659.1,6626,4,0.003,15
97,147,15659.1,6665,3,0.003,15
97,148,427680,5796,0,0.00108,15
97,148,427680,5852,2,0.00168,0
97,148,427680,5861,2,0.0032,0
97,148,427680,5886,2,0.0258,22
97,148,427680,5983,3,1.00E-04,3
97,148,427680,6035,2,6.60E-04,11
97,148,427680,6085,2,0.0074,7
97,148,427680,6113,0,0.0062,0
97,148,427680,6118,2,0.012,12
97,148,427680,6147,2,0.022,19
97,148,427680,6193,2,0.00144,17
97,148,427680,6258,2,0.0018,19
97,148,427680,6308,2,0.018,16
97,148,427680,6348,2,0.0186,17
97,150,4.36E+10,5456,5,1.5,20
97,150,4.36E+10,5501,5,7,10
97,150,4.36E+10,5531,5,45,20
97,150,4.36E+10,5610,5,0.4,4
97,150,4.36E+10,5654,5,5.5,6
97,150,4.36E+10,5688,5,13,10
97,150,4.36E+10,5710,5,17,10
97,150,4.36E+10,5754,5,4.3,4
97,150,4.36E+10,5794,5,5.5,5
97,152,2.85E+07,5045,0,5.80E-07,0
97,152,2.85E+07,5114,0,2.60E-05,13
97,152,2.85E+07,5151,0,5.50E-07,0
97,152,2.85E+07,5249.4,11,1.45E-06,17
97,152,2.85E+07,5314,0,1.07E-06,0
97,152,2.85E+07,5322,0,7.00E-07,0
97,152,2.85E+07,5352,0,2.18E-05,0
97,152,2.85E+07,5389.7,10,2.32E-04,0
97,152,2.85E+07,5416.6,10,0.00108,0
97,152,2.85E+07,5437.1,11,7.00E-05,0
98,142,57.6,7545,0,28,5
98,142,57.6,7590,10,59,9
98,145,642,7060,10,9.9,14
98,145,642,7170,10,4.1,6
98,146,1164,7174,5,18,8
98,146,1164,7209,4,53,16
98,147,2700,6978,0,0.109,0
98,147,2700,7016,0,0.109,0
98,147,2700,7058,0,0.24,0
98,147,2700,7084,10,2.47,0
98,147,2700,7137.9,19,32.4,0
98,148,128520,6467,7,0.016,16
98,148,128520,6615.6,10,0.15,20
98,148,128520,6708.2,10,20.6,10
98,148,128520,6750,10,79.3,10
98,149,11196,6238,6,0.0018,4
98,149,11196,6296,5,0.033,5
98,150,2.88E+07,6118,7,0.4,20
98,150,2.88E+07,6217,5,19.6,10
98,150,2.88E+07,6258,5,80,10
98,151,1.11E+10,5201,0,3.00E-05,3
98,151,1.11E+10,5238,0,1.00E-04,10
98,151,1.11E+10,5273,0,6.00E-05,6
98,151,1.11E+10,5307,0,6.00E-05,6
98,151,1.11E+10,5341,0,4.00E-04,4
98,151,1.11E+10,5359,0,5.00E-05,5
98,151,1.11E+10,5370,0,1.30E-04,13
98,151,1.11E+10,5422,0,1.50E-04,15
98,151,1.11E+10,5431,0,0.0026,3
98,151,1.11E+10,5433,3,7.70E-04,8
98,151,1.11E+10,5471,3,2.00E-04,0
98,151,1.11E+10,5483,3,3.20E-04,0
98,151,1.11E+10,5501,3,0.044,20
98,151,1.11E+10,5532,3,2.10E-04,0
98,151,1.11E+10,5559,2,0.113,5
98,151,1.11E+10,5604,3,0.001,0
98,151,1.11E+10,5616,3,0.0069,0
98,151,1.11E+10,5645,3,0.0015,15
98,151,1.11E+10,5658,3,1.00E-04,10
98,151,1.11E+10,5694,2,0.3,10
98,151,1.11E+10,5704,2,0.03,0
98,151,1.11E+10,5759.5,10,4.69,5
98,151,1.11E+10,5783.3,20,0.26,0
98,151,1.11E+10,5813.3,10,82.2,5
