n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
37 20 -15800.0 8.0 -1
36 20 -14600.0 7.0 0.011
36 20 -14600.0 7.0 0.011
36 20 -14600.0 7.0 0.011
36 20 -14600.0 7.0 0.011
35 20 -14600.0 4.0 0.022
35 20 -14600.0 4.0 0.022
35 20 -14600.0 4.0 0.022
34 20 -14400.0 5.0 0.107
34 20 -14400.0 5.0 0.107
33 20 -14800.0 4.0 0.461
33 20 -14800.0 4.0 0.461
32 20 -14336.0 17.0 4.6000000000000005
32 20 -14336.0 17.0 4.6000000000000005
31 20 -13390.0 13.0 10.0
31 20 -13390.0 13.0 10.0
30 20 -12243.0 3.0 13.9
41 20 0.0 0.0 -1
40 20 25000.0 11.0 -1
19 20 -6660.3 9.0 0.8596
18 20 -6105.13 21.0 0.44
17 20 -6176.7 8.0 0.1811
17 20 -6176.7 8.0 0.1811
16 20 -6680.0 4.0 0.10200000000000001
16 20 -6680.0 4.0 0.10200000000000001
15 20 -8600.0 3.0 0.0257
15 20 -8600.0 3.0 0.0257
15 20 -8600.0 3.0 0.0257
14 20 -9600.0 3.0 -1
13 20 -1800.0 6.0 -1
29 20 -13954.1 5.0 523.08
28 20 -13976.5 16.0 -1
27 20 -12760.0 6.0 391910.39999999997
26 20 -11142.0 6.0 -1
25 20 -10169.6 5.0 14049504.000000002
24 20 12182.3 5.0 -1.0
23 20 10675.8 3.0 -1.0
22 20 10276.72 15.0 -1.0
21 20 -6615.15 25.0 3136825440000.0
20 20 -7039.78 3.0 -1
29 21 -11548.0 3.0 102.5
29 21 -11548.0 3.0 102.5
29 21 -11548.0 3.0 102.5
28 21 -12371.7 23.0 3430.8
27 21 -11148.0 5.0 157212.0
26 21 -10186.4 20.0 289370.88
25 21 -9164.5 7.0 7239456.000000001
25 21 -9164.5 7.0 7239456.000000001
24 21 6892.6 7.0 -1.0
24 21 -7937.7 7.0 -1.0
23 21 -6705.5 18.0 14292.0
23 21 -6705.5 18.0 14292.0
23 21 -6705.5 18.0 14292.0
22 21 -4805.9 19.0 14007.6
21 21 -5745.16 25.0 0.6807000000000001
21 21 -5745.16 25.0 0.6807000000000001
20 21 -6267.07 12.0 0.5962999999999999
39 21 -15000.0 8.0 -1
39 21 -15000.0 8.0 -1
39 21 -15000.0 8.0 -1
39 21 -15000.0 8.0 -1
38 21 -13700.0 6.0 -1
38 21 -13700.0 6.0 -1
38 21 -13700.0 6.0 -1
38 21 -13700.0 6.0 -1
37 21 -12800.0 4.0 0.012
37 21 -12800.0 4.0 0.012
37 21 -12800.0 4.0 0.012
37 21 -12800.0 4.0 0.012
36 21 -11510.0 21.0 0.002
36 21 -11510.0 21.0 0.002
36 21 -11510.0 21.0 0.002
36 21 -11510.0 21.0 0.002
35 21 -10800.0 3.0 0.031
35 21 -10800.0 3.0 0.031
35 21 -10800.0 3.0 0.031
35 21 -10800.0 3.0 0.031
35 21 -10800.0 3.0 0.031
34 21 -10750.0 6.0 0.096
34 21 -10750.0 6.0 0.096
34 21 -10750.0 6.0 0.096
33 21 -11135.0 16.0 0.526
33 21 -11135.0 16.0 0.526
32 21 -11583.0 18.0 2.4
32 21 -11583.0 18.0 2.4
31 21 -10664.0 3.0 0.2
31 21 -10664.0 3.0 0.2
30 21 -9963.0 3.0 12.4
30 21 -9963.0 3.0 12.4
19 21 -5531.0 3.0 0.18230000000000002
19 21 -5531.0 3.0 0.18230000000000002
19 21 -5531.0 3.0 0.18230000000000002
18 21 -5425.0 24.0 -1
17 21 -5500.0 3.0 -1
16 21 -6200.0 4.0 -1
15 21 -8300.0 5.0 -1
14 21 -4900.0 5.0 -1
42 21 0.0 0.0 -1
41 21 19000.0 10.0 -1
40 21 -16100.0 8.0 -1
40 21 -16100.0 8.0 -1
40 21 -16100.0 8.0 -1
40 21 -16100.0 8.0 -1
39 22 -12200.0 5.0 0.015
39 22 -12200.0 5.0 0.015
39 22 -12200.0 5.0 0.015
39 22 -12200.0 5.0 0.015
38 22 -11000.0 3.0 0.0222
38 22 -11000.0 3.0 0.0222
38 22 -11000.0 3.0 0.0222
37 22 -9700.0 3.0 0.0285
37 22 -9700.0 3.0 0.0285
37 22 -9700.0 3.0 0.0285
36 22 -8180.0 19.0 0.058
36 22 -8180.0 19.0 0.058
35 22 -7440.0 21.0 0.098
35 22 -7440.0 21.0 0.098
34 22 -7580.0 10.0 0.2
34 22 -7580.0 10.0 0.2
33 22 -7930.0 3.0 1.3
32 22 -8579.0 16.0 2.1
31 22 -8006.0 3.0 32.7
30 22 -7678.0 3.0 102.0
43 22 0.0 0.0 -1
42 22 21800.0 9.0 -1
41 22 -14100.0 8.0 -1
41 22 -14100.0 8.0 -1
41 22 -14100.0 8.0 -1
41 22 -14100.0 8.0 -1
40 22 -13100.0 6.0 -1
40 22 -13100.0 6.0 -1
40 22 -13100.0 6.0 -1
40 22 -13100.0 6.0 -1
19 22 -4990.0 3.0 0.0819
19 22 -4990.0 3.0 0.0819
18 22 -4970.0 8.0 0.0524
18 22 -4970.0 8.0 0.0524
17 22 -5100.0 3.0 0.031
17 22 -5100.0 3.0 0.031
16 22 0.0 nan -1
15 22 -1700.0 5.0 -1
29 22 -9813.2 23.0 345.59999999999997
28 22 12158.4 23.0 -1.0
27 22 11349.0 5.0 -1.0
26 22 11445.1 19.0 -1.0
25 22 10464.9 7.0 -1.0
24 22 10344.9 7.0 -1.0
23 22 -6297.3 8.0 11088.0
22 22 -5127.1 7.0 1893456000.0
21 22 -4458.0 6.0 0.509
20 22 -5470.8 3.0 0.20865
41 23 -14200.0 6.0 0.015
41 23 -14200.0 6.0 0.015
41 23 -14200.0 6.0 0.015
41 23 -14200.0 6.0 0.015
42 23 -15000.0 8.0 -1
42 23 -15000.0 8.0 -1
42 23 -15000.0 8.0 -1
42 23 -15000.0 8.0 -1
43 23 -16000.0 8.0 -1
43 23 -16000.0 8.0 -1
43 23 -16000.0 8.0 -1
43 23 -16000.0 8.0 -1
44 23 0.0 0.0 -1
40 23 -13300.0 4.0 0.019600000000000003
40 23 -13300.0 4.0 0.019600000000000003
40 23 -13300.0 4.0 0.019600000000000003
40 23 -13300.0 4.0 0.019600000000000003
27 23 -9886.5 7.0 -1
27 23 -9886.5 7.0 -1
28 23 8060.21 7.0 -1.0
29 23 -9364.0 5.0 224.57999999999998
20 23 -6170.0 5.0 0.0793
21 23 -5710.0 8.0 0.111
21 23 -5710.0 8.0 0.111
21 23 -5710.0 8.0 0.111
22 23 -5669.0 9.0 0.547
23 23 -7379.81 20.0 0.4225
23 23 -7379.81 20.0 0.4225
24 23 -8243.8 19.0 1956.0
25 23 -9086.9 20.0 1380110.4
26 23 -9314.8 11.0 28512000.0
38 23 -11200.0 3.0 0.048299999999999996
38 23 -11200.0 3.0 0.048299999999999996
38 23 -11200.0 3.0 0.048299999999999996
39 23 -12200.0 3.0 0.0335
39 23 -12200.0 3.0 0.0335
39 23 -12200.0 3.0 0.0335
30 23 -7714.0 4.0 92.58
31 23 -7786.0 11.0 49.8
31 23 -7786.0 11.0 49.8
32 23 -8300.0 3.0 6.54
33 23 -8080.0 18.0 0.216
33 23 -8080.0 18.0 0.216
34 23 -8090.0 9.0 0.34700000000000003
34 23 -8090.0 9.0 0.34700000000000003
35 23 -8420.0 10.0 0.19
35 23 -8420.0 10.0 0.19
36 23 -9190.0 15.0 0.092
36 23 -9190.0 15.0 0.092
37 23 -10000.0 3.0 0.04
37 23 -10000.0 3.0 0.04
37 23 -10000.0 3.0 0.04
37 23 -10000.0 3.0 0.04
37 23 -10000.0 3.0 0.04
37 23 -10000.0 3.0 0.04
37 23 -10000.0 3.0 0.04
16 23 -3900.0 5.0 -1
17 23 -6100.0 4.0 -1
18 23 -5900.0 4.0 -1
19 23 -5800.0 3.0 -1
39 24 -12700.0 3.0 0.129
39 24 -12700.0 3.0 0.129
31 24 -7802.3 5.0 209.82
32 24 -8232.0 3.0 356.40000000000003
33 24 -8068.0 3.0 21.1
34 24 -8673.0 16.0 7.0
35 24 -8710.0 3.0 1.05
36 24 -9910.0 10.0 0.492
36 24 -9910.0 10.0 0.492
37 24 -10520.0 21.0 0.234
37 24 -10520.0 21.0 0.234
38 24 -12360.0 18.0 0.2
38 24 -12360.0 18.0 0.2
30 24 12373.0 3.0 -1.0
42 24 -15400.0 5.0 0.023
42 24 -15400.0 5.0 0.023
42 24 -15400.0 5.0 0.023
43 24 -15800.0 6.0 -1
43 24 -15800.0 6.0 -1
43 24 -15800.0 6.0 -1
43 24 -15800.0 6.0 -1
44 24 -16600.0 8.0 -1
44 24 -16600.0 8.0 -1
44 24 -16600.0 8.0 -1
44 24 -16600.0 8.0 -1
45 24 0.0 0.0 -1
46 24 0.0 0.0 -1
40 24 -14000.0 4.0 0.0429
40 24 -14000.0 4.0 0.0429
41 24 -14400.0 4.0 0.028
41 24 -14400.0 4.0 0.028
41 24 -14400.0 4.0 0.028
17 24 -700.0 5.0 -1
18 24 -6700.0 4.0 0.013300000000000001
18 24 -6700.0 4.0 0.013300000000000001
19 24 -6900.0 3.0 0.0212
19 24 -6900.0 3.0 0.0212
19 24 -6900.0 3.0 0.0212
19 24 -6900.0 3.0 0.0212
28 24 10505.37 10.0 -1.0
29 24 11133.56 16.0 -1.0
20 24 -6850.0 9.0 0.0428
20 24 -6850.0 9.0 0.0428
21 24 -6240.0 5.0 0.0609
21 24 -6240.0 5.0 0.0609
22 24 -6792.0 11.0 0.26
23 24 -7672.0 8.0 0.5
24 24 -7698.0 7.0 77616.0
25 24 -8747.0 24.0 2538.0
26 24 -8558.01 8.0 -1
27 24 -8938.02 15.0 2393496.0
44 25 -15700.0 6.0 0.016
44 25 -15700.0 6.0 0.016
44 25 -15700.0 6.0 0.016
44 25 -15700.0 6.0 0.016
43 25 -15000.0 5.0 0.028
43 25 -15000.0 5.0 0.028
43 25 -15000.0 5.0 0.028
46 25 -17300.0 8.0 -1
46 25 -17300.0 8.0 -1
46 25 -17300.0 8.0 -1
45 25 -16600.0 7.0 -1
45 25 -16600.0 7.0 -1
45 25 -16600.0 7.0 -1
45 25 -16600.0 7.0 -1
48 25 0.0 0.0 -1
47 25 0.0 0.0 -1
40 25 -13220.0 23.0 0.09190000000000001
40 25 -13220.0 23.0 0.09190000000000001
42 25 -14300.0 4.0 0.047
42 25 -14300.0 4.0 0.047
42 25 -14300.0 4.0 0.047
41 25 -14000.0 3.0 0.004
41 25 -14000.0 3.0 0.004
41 25 -14000.0 3.0 0.004
29 25 -8759.9 10.0 26974080.0
29 25 -8759.9 10.0 26974080.0
22 25 -7070.0 5.0 0.088
22 25 -7070.0 5.0 0.088
21 25 -7220.0 21.0 0.0362
21 25 -7220.0 21.0 0.0362
24 25 -8158.4 24.0 0.382
23 25 -7913.0 10.0 0.1581
23 25 -7913.0 10.0 0.1581
23 25 -7913.0 10.0 0.1581
26 25 -8661.1 3.0 2772.0
25 25 -7975.91 14.0 0.28319
25 25 -7975.91 14.0 0.28319
28 25 -9153.1 9.0 118025424000000.0
27 25 -8658.3 10.0 483062.4
27 25 -8658.3 10.0 483062.4
27 25 -8658.3 10.0 483062.4
20 25 -1200.0 3.0 -1
33 25 -8354.0 12.0 3.0
33 25 -8354.0 12.0 3.0
33 25 -8354.0 12.0 3.0
32 25 -8060.0 3.0 85.4
35 25 -9210.0 18.0 0.28
35 25 -9210.0 18.0 0.28
35 25 -9210.0 18.0 0.28
34 25 -8830.0 3.0 4.59
37 25 -10520.0 10.0 0.092
37 25 -10520.0 10.0 0.092
37 25 -10520.0 10.0 0.092
37 25 -10520.0 10.0 0.092
36 25 -9730.0 8.0 0.709
36 25 -9730.0 8.0 0.709
39 25 -12330.0 18.0 0.09
39 25 -12330.0 18.0 0.09
39 25 -12330.0 18.0 0.09
38 25 -11700.0 14.0 0.276
38 25 -11700.0 14.0 0.276
31 25 -7893.6 3.0 9284.039999999999
30 25 8066.1 3.0 -1.0
19 25 -7400.0 4.0 -1
19 25 -7400.0 4.0 -1
18 25 -3000.0 5.0 -1
34 26 -8553.0 3.0 82680912000000.0
33 26 -7979.5 4.0 3844368.0
36 26 -9311.0 4.0 68.0
35 26 -8820.0 3.0 358.8
38 26 -10486.0 5.0 2.0
37 26 -9945.0 4.0 6.1
39 26 -11146.0 5.0 0.81
39 26 -11146.0 5.0 0.81
39 26 -11146.0 5.0 0.81
39 26 -11146.0 5.0 0.81
30 26 10183.59 16.0 -1.0
32 26 11958.0 15.0 -1.0
31 26 10559.32 21.0 -1.0
45 26 -15100.0 6.0 0.035
45 26 -15100.0 6.0 0.035
45 26 -15100.0 6.0 0.035
44 26 -14200.0 4.0 0.063
44 26 -14200.0 4.0 0.063
44 26 -14200.0 4.0 0.063
47 26 -16800.0 7.0 -1
47 26 -16800.0 7.0 -1
47 26 -16800.0 7.0 -1
46 26 -16000.0 7.0 0.019
46 26 -16000.0 7.0 0.019
46 26 -16000.0 7.0 0.019
49 26 0.0 0.0 -1
49 26 0.0 0.0 -1
49 26 0.0 0.0 -1
49 26 0.0 0.0 -1
48 26 -17400.0 8.0 -1
48 26 -17400.0 8.0 -1
48 26 -17400.0 8.0 -1
41 26 -11960.0 7.0 0.395
41 26 -11960.0 7.0 0.395
40 26 -11640.0 5.0 0.35100000000000003
40 26 -11640.0 5.0 0.35100000000000003
43 26 -13300.0 3.0 0.162
43 26 -13300.0 3.0 0.162
43 26 -13300.0 3.0 0.162
42 26 -12700.0 4.0 0.188
42 26 -12700.0 4.0 0.188
19 26 -8400.0 5.0 0.0024500000000000004
19 26 -8400.0 5.0 0.0024500000000000004
19 26 -8400.0 5.0 0.0024500000000000004
19 26 -8400.0 5.0 0.0024500000000000004
19 26 -8400.0 5.0 0.0024500000000000004
23 26 -7660.0 4.0 0.06470000000000001
23 26 -7660.0 4.0 0.06470000000000001
22 26 -7010.0 11.0 0.0453
22 26 -7010.0 11.0 0.0453
25 26 -8051.0 5.0 0.305
24 26 -7430.0 14.0 0.155
24 26 -7430.0 14.0 0.155
27 26 -8040.0 3.0 510.59999999999997
27 26 -8040.0 3.0 510.59999999999997
26 26 -7936.0 7.0 29790.0
26 26 -7936.0 7.0 29790.0
26 26 -7936.0 7.0 29790.0
29 26 -8455.6 3.0 86594054.4
28 26 8853.2 5.0 -1.0
21 26 -7600.0 5.0 0.0219
21 26 -7600.0 5.0 0.0219
21 26 -7600.0 5.0 0.0219
20 26 -8300.0 4.0 0.013000000000000001
20 26 -8300.0 4.0 0.013000000000000001
50 26 0.0 0.0 -1
47 27 -15500.0 6.0 0.0314
47 27 -15500.0 6.0 0.0314
47 27 -15500.0 6.0 0.0314
47 27 -15500.0 6.0 0.0314
48 27 -16400.0 6.0 0.0265
48 27 -16400.0 6.0 0.0265
48 27 -16400.0 6.0 0.0265
48 27 -16400.0 6.0 0.0265
45 27 -13800.0 4.0 0.0573
45 27 -13800.0 4.0 0.0573
45 27 -13800.0 4.0 0.0573
46 27 -15000.0 5.0 0.0405
46 27 -15000.0 5.0 0.0405
46 27 -15000.0 5.0 0.0405
46 27 -15000.0 5.0 0.0405
49 27 -16900.0 8.0 0.0217
49 27 -16900.0 8.0 0.0217
49 27 -16900.0 8.0 0.0217
49 27 -16900.0 8.0 0.0217
40 27 -10860.0 7.0 0.329
40 27 -10860.0 7.0 0.329
40 27 -10860.0 7.0 0.329
40 27 -10860.0 7.0 0.329
43 27 -12199.0 16.0 0.014
43 27 -12199.0 16.0 0.014
43 27 -12199.0 16.0 0.014
43 27 -12199.0 16.0 0.014
43 27 -12199.0 16.0 0.014
43 27 -12199.0 16.0 0.014
44 27 -13200.0 5.0 0.08
44 27 -13200.0 5.0 0.08
41 27 -11078.0 5.0 0.099
41 27 -11078.0 5.0 0.099
41 27 -11078.0 5.0 0.099
41 27 -11078.0 5.0 0.099
42 27 -11840.0 9.0 0.18
42 27 -11840.0 9.0 0.18
42 27 -11840.0 9.0 0.18
42 27 -11840.0 9.0 0.18
50 27 -17600.0 8.0 0.013000000000000001
50 27 -17600.0 8.0 0.013000000000000001
50 27 -17600.0 8.0 0.013000000000000001
50 27 -17600.0 8.0 0.013000000000000001
51 27 0.0 0.0 -1
25 27 -7472.0 9.0 0.10400000000000001
26 27 -7464.0 3.0 0.24
26 27 -7464.0 3.0 0.24
26 27 -7464.0 3.0 0.24
23 27 -7600.0 15.0 0.0388
23 27 -7600.0 15.0 0.0388
23 27 -7600.0 15.0 0.0388
24 27 -7200.0 6.0 0.0688
29 27 -7754.0 5.0 6673190.4
27 27 -7808.1 4.0 0.193
27 27 -7808.1 4.0 0.193
28 27 -8211.7 5.0 63108.00000000001
21 27 -1600.0 7.0 -1
22 27 -900.0 5.0 -1
20 27 -2100.0 7.0 -1
36 27 -8751.0 19.0 27.4
37 27 -9249.0 20.0 0.3
34 27 -7836.8 17.0 5936.4
35 27 -8022.0 19.0 90.0
35 27 -8022.0 19.0 90.0
35 27 -8022.0 19.0 90.0
38 27 -9868.0 3.0 1.16
39 27 -10309.0 15.0 0.209
39 27 -10309.0 15.0 0.209
32 27 7363.5 4.0 -1.0
33 27 -7163.7 4.0 166344192.0
33 27 -7163.7 4.0 166344192.0
33 27 -7163.7 4.0 166344192.0
30 27 -7080.2 6.0 23478336.0
31 27 -6714.0 15.0 6122304.0
51 28 -15900.0 8.0 0.043000000000000003
51 28 -15900.0 8.0 0.043000000000000003
51 28 -15900.0 8.0 0.043000000000000003
52 28 -15100.0 8.0 0.024
52 28 -15100.0 8.0 0.024
52 28 -15100.0 8.0 0.024
52 28 -15100.0 8.0 0.024
50 28 -16600.0 6.0 0.1222
50 28 -16600.0 6.0 0.1222
53 28 0.0 0.0 -1
54 28 0.0 0.0 -1
37 28 -8630.0 3.0 9063.0
38 28 -9553.0 3.0 196560.0
35 28 -7272.8 4.0 3193629120.0
36 28 12536.0 19.0 -1.0
39 28 -10532.0 5.0 21.0
30 28 8172.2 4.0 -1.0
33 28 9860.56 22.0 -1.0
34 28 11137.2 7.0 -1.0
31 28 -6100.3 3.0 2398377600000.0
32 28 9532.38 20.0 -1.0
48 28 -15400.0 6.0 0.2347
48 28 -15400.0 6.0 0.2347
49 28 -15800.0 6.0 0.1584
49 28 -15800.0 6.0 0.1584
49 28 -15800.0 6.0 0.1584
46 28 -14200.0 4.0 0.5077
46 28 -14200.0 4.0 0.5077
47 28 -14700.0 4.0 0.33180000000000004
47 28 -14700.0 4.0 0.33180000000000004
40 28 -10919.0 6.0 29.0
40 28 -10919.0 6.0 29.0
41 28 -11186.0 6.0 11.4
41 28 -11186.0 6.0 11.4
41 28 -11186.0 6.0 11.4
41 28 -11186.0 6.0 11.4
44 28 -12750.0 19.0 1.587
44 28 -12750.0 19.0 1.587
45 28 -13330.0 20.0 0.842
45 28 -13330.0 20.0 0.842
42 28 -11571.0 5.0 6.0
43 28 -12123.0 4.0 2.56
43 28 -12123.0 4.0 2.56
26 28 -7227.0 10.0 0.11420000000000001
27 28 -7571.7 16.0 0.2047
24 28 -6980.0 12.0 0.040799999999999996
24 28 -6980.0 12.0 0.040799999999999996
25 28 -7310.0 3.0 0.055200000000000006
25 28 -7310.0 3.0 0.055200000000000006
28 28 -8000.5 4.0 524880.0
29 28 -7561.4 17.0 128160.0
22 28 -7100.0 6.0 0.0185
22 28 -7100.0 6.0 0.0185
22 28 -7100.0 6.0 0.0185
23 28 -6900.0 7.0 0.0238
23 28 -6900.0 7.0 0.0238
20 28 0.0 0.0 0.0021000000000000003
20 28 0.0 0.0 0.0021000000000000003
21 28 -8300.0 7.0 0.0075
21 28 -8300.0 7.0 0.0075
28 29 -7074.6 18.0 0.1963
27 29 -6711.0 8.0 0.093
27 29 -6711.0 8.0 0.093
26 29 -6720.0 16.0 0.027
26 29 -6720.0 16.0 0.027
25 29 -6100.0 4.0 -1
29 29 -6082.7 6.0 3.204
24 29 -5800.0 7.0 -1
24 29 -5800.0 7.0 -1
23 29 -6000.0 8.0 -1
39 29 -8200.0 20.0 30.9
39 29 -8200.0 20.0 30.9
39 29 -8200.0 20.0 30.9
38 29 -7893.0 19.0 222588.0
37 29 -7259.0 19.0 307.2
36 29 7453.6 7.0 -1.0
31 29 -4729.7 16.0 1422.0
30 29 -4753.4 5.0 81.5
35 29 -6198.9 4.0 45723.6
35 29 -6198.9 4.0 45723.6
34 29 6122.4 6.0 -1.0
33 29 -5365.2 12.0 580.38
32 29 -5063.3 10.0 12020.4
49 29 -13700.0 4.0 0.335
49 29 -13700.0 4.0 0.335
48 29 -13300.0 3.0 0.4681
48 29 -13300.0 3.0 0.4681
47 29 -13100.0 3.0 0.638
47 29 -13100.0 3.0 0.638
47 29 -13100.0 3.0 0.638
42 29 -9814.0 7.0 19.4
41 29 -8993.0 14.0 44.5
41 29 -8993.0 14.0 44.5
41 29 -8993.0 14.0 44.5
41 29 -8993.0 14.0 44.5
41 29 -8993.0 14.0 44.5
40 29 -8976.0 3.0 171.0
46 29 -12500.0 5.0 1.224
46 29 -12500.0 5.0 1.224
45 29 -11906.0 13.0 1.594
44 29 -11030.0 9.0 4.2
43 29 -10565.0 4.0 6.63
53 29 -12800.0 8.0 -1
53 29 -12800.0 8.0 -1
53 29 -12800.0 8.0 -1
52 29 -12400.0 7.0 -1
52 29 -12400.0 7.0 -1
52 29 -12400.0 7.0 -1
51 29 -13400.0 6.0 0.17
50 29 -14300.0 4.0 0.241
50 29 -14300.0 4.0 0.241
55 29 0.0 0.0 -1
54 29 17000.0 9.0 -1
28 30 -5450.0 5.0 0.08600000000000001
28 30 -5450.0 5.0 0.08600000000000001
27 30 -5340.0 20.0 0.038
27 30 -5340.0 20.0 0.038
29 30 -4304.6 10.0 0.182
29 30 -4304.6 10.0 0.182
24 30 -4700.0 5.0 0.00159
26 30 -5300.0 4.0 0.03
26 30 -5300.0 4.0 0.03
25 30 -5000.0 6.0 0.0198
25 30 -5000.0 6.0 0.0198
53 30 -10600.0 6.0 0.117
53 30 -10600.0 6.0 0.117
52 30 -9900.0 4.0 0.228
55 30 -11400.0 9.0 -1
55 30 -11400.0 9.0 -1
55 30 -11400.0 9.0 -1
54 30 -11000.0 7.0 -1
54 30 -11000.0 7.0 -1
54 30 -11000.0 7.0 -1
51 30 -11300.0 4.0 0.3035
51 30 -11300.0 4.0 0.3035
50 30 -11900.0 3.0 0.5619
50 30 -11900.0 3.0 0.5619
56 30 0.0 0.0 -1
42 30 -7107.0 4.0 167400.0
41 30 -6011.0 4.0 147.0
41 30 -6011.0 4.0 147.0
41 30 -6011.0 4.0 147.0
44 30 -8968.0 3.0 95.6
43 30 -8040.0 4.0 23.5
43 30 -8040.0 4.0 23.5
43 30 -8040.0 4.0 23.5
43 30 -8040.0 4.0 23.5
40 30 -5983.4 24.0 7.258248e+24
49 30 -11620.0 20.0 0.746
49 30 -11620.0 20.0 0.746
46 30 -10502.0 3.0 5.7
45 30 -9578.0 3.0 10.2
48 30 -11210.0 20.0 1.47
47 30 -11106.0 3.0 2.08
47 30 -11106.0 3.0 2.08
47 30 -11106.0 3.0 2.08
31 30 -2690.0 16.0 89.1
31 30 -2690.0 16.0 89.1
31 30 -2690.0 16.0 89.1
31 30 -2690.0 16.0 89.1
30 30 -2691.7 5.0 142.79999999999998
33 30 -3481.5 16.0 2308.2
32 30 -3364.1 5.0 33069.6
39 30 -5717.0 8.0 3384.0
39 30 -5717.0 8.0 3384.0
39 30 -5717.0 8.0 3384.0
38 30 9976.6 9.0 -1.0
35 30 -4114.9 7.0 21075552.0
34 30 -3955.7 7.0 2.209032e+28
37 30 8911.1 9.0 -1.0
36 30 8924.5 9.0 -1.0
54 31 -10300.0 3.0 0.092
54 31 -10300.0 3.0 0.092
53 31 -9800.0 3.0 0.085
53 31 -9800.0 3.0 0.085
53 31 -9800.0 3.0 0.085
53 31 -9800.0 3.0 0.085
56 31 -10900.0 7.0 -1
56 31 -10900.0 7.0 -1
56 31 -10900.0 7.0 -1
55 31 -10500.0 6.0 0.043000000000000003
55 31 -10500.0 6.0 0.043000000000000003
55 31 -10500.0 6.0 0.043000000000000003
50 31 -11190.0 3.0 1.217
50 31 -11190.0 3.0 1.217
52 31 -9270.0 11.0 0.30810000000000004
52 31 -9270.0 11.0 0.30810000000000004
51 31 -10566.0 14.0 0.599
51 31 -10566.0 14.0 0.599
57 31 0.0 0.0 -1
43 31 -7498.0 3.0 487.19999999999993
43 31 -7498.0 3.0 487.19999999999993
43 31 -7498.0 3.0 487.19999999999993
42 31 -6388.0 22.0 17496.0
45 31 -8938.6 24.0 32.6
44 31 -8174.4 16.0 126.0
41 31 -5446.2 18.0 50760.0
40 31 7863.3 21.0 -1.0
47 31 -10123.0 6.0 5.09
46 31 -9430.0 3.0 13.2
49 31 -10667.0 3.0 1.9
49 31 -10667.0 3.0 1.9
48 31 -10503.1 14.0 2.847
48 31 -10503.1 14.0 2.847
32 31 -2613.6 14.0 32.4
31 31 -2744.1 7.0 0.116121
31 31 -2744.1 7.0 0.116121
34 31 -3098.3 9.0 912.0
33 31 -2912.5 21.0 157.61999999999998
30 31 -2250.0 4.0 0.167
30 31 -2250.0 4.0 0.167
39 31 -5076.8 14.0 1268.4
39 31 -5076.8 14.0 1268.4
36 31 -3724.2 12.0 281810.88
35 31 -3361.1 12.0 34164.0
38 31 6609.6 14.0 -1.0
37 31 -4086.6 14.0 4062.5999999999995
29 31 -3390.0 20.0 0.07
29 31 -3390.0 20.0 0.07
29 31 -3390.0 20.0 0.07
28 31 -4550.0 23.0 -1
25 31 -4400.0 8.0 -1
27 31 -4700.0 5.0 -1
26 31 -4700.0 6.0 -1
45 32 -8044.4 19.0 40680.0
45 32 -8044.4 19.0 40680.0
45 32 -8044.4 19.0 40680.0
46 32 -8530.0 4.0 5280.0
43 32 -6953.0 3.0 4966.8
43 32 -6953.0 3.0 4966.8
43 32 -6953.0 3.0 4966.8
44 32 12041.2 7.0 -1.0
41 32 9998.2 8.0 -1.0
41 32 -5304.5 8.0 -1.0
42 32 11012.1 17.0 -1.0
40 32 9735.8 8.0 -1.0
49 32 -9927.0 3.0 7.6
49 32 -9927.0 3.0 7.6
47 32 -9390.0 4.0 18.98
47 32 -9390.0 4.0 18.98
47 32 -9390.0 4.0 18.98
48 32 -9657.0 3.0 29.5
34 32 -2863.9 25.0 8135.999999999999
35 32 -2885.0 5.0 1134.0
32 32 -2566.0 4.0 63.7
33 32 -2554.0 16.0 30.9
33 32 -2554.0 16.0 30.9
30 32 -2270.0 15.0 0.129
30 32 -2270.0 15.0 0.129
31 32 -2130.0 4.0 0.15
38 32 8523.2 14.0 -1.0
39 32 -4451.2 10.0 987552.0
39 32 -4451.2 10.0 987552.0
36 32 -3399.7 20.0 23408352.0
37 32 -3613.6 15.0 140580.0
29 32 -3700.0 4.0 0.044
29 32 -3700.0 4.0 0.044
27 32 -4500.0 6.0 -1
27 32 -4500.0 6.0 -1
28 32 -4600.0 5.0 -1
28 32 -4600.0 5.0 -1
26 32 -4300.0 5.0 -1
56 32 -10100.0 6.0 3.0000000000000004e-07
57 32 -10400.0 6.0 3.0000000000000004e-07
54 32 -9500.0 4.0 0.226
54 32 -9500.0 4.0 0.226
55 32 -9700.0 4.0 0.14
55 32 -9700.0 4.0 0.14
52 32 -8925.0 4.0 0.954
52 32 -8925.0 4.0 0.954
53 32 -9349.0 6.0 0.503
53 32 -9349.0 6.0 0.503
53 32 -9349.0 6.0 0.503
50 32 -10357.0 3.0 4.56
51 32 -9969.0 3.0 1.85
58 32 -10800.0 7.0 -1
58 32 -10800.0 7.0 -1
58 32 -10800.0 7.0 -1
50 33 -9546.0 3.0 13.4
57 33 -9700.0 6.0 -1
57 33 -9700.0 6.0 -1
58 33 -10100.0 6.0 -1
55 33 -8780.0 20.0 0.2
56 33 -9200.0 3.0 -1
56 33 -9200.0 3.0 -1
