n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
14 8 -18060.0 6.0 2.25
14 8 -18060.0 6.0 2.25
11 8 -8965.0 3.0 26.88
12 8 -12323.0 4.0 13.51
20 8 0.0 0.0 -1
3 8 -1600.0 4.0 -1
4 8 -5476.0 22.0 1.1392499999999999e-21
5 8 -8220.0 10.0 0.00858
5 8 -8220.0 10.0 0.00858
6 8 -10115.81 7.0 70.62
7 8 -10218.7 5.0 122.24
8 8 12127.4113 6.0 -1.0
9 8 13781.6 23.0 -1.0
18 9 -14000.0 4.0 0.005
18 9 -14000.0 4.0 0.005
18 9 -14000.0 4.0 0.005
18 9 -14000.0 4.0 0.005
19 9 -16000.0 4.0 4.6000000000000004e-20
16 9 -16320.0 17.0 0.08
16 9 -16320.0 17.0 0.08
16 9 -16320.0 17.0 0.08
17 9 -15520.0 23.0 0.008199999999999999
17 9 -15520.0 23.0 0.008199999999999999
17 9 -15520.0 23.0 0.008199999999999999
10 9 7993.5998 10.0 -1.0
11 9 -8126.3 23.0 11.07
14 9 -15000.0 4.0 2.23
14 9 -15000.0 4.0 2.23
15 9 -16650.0 13.0 0.382
15 9 -16650.0 13.0 0.382
12 9 -10343.0 15.0 4.158
13 9 -12745.0 22.0 4.23
13 9 -12745.0 22.0 4.23
21 9 0.0 0.0 -1
22 9 0.0 0.0 -1
22 9 0.0 0.0 -1
22 9 0.0 0.0 -1
22 9 0.0 0.0 -1
20 9 -18300.0 7.0 0.00267
20 9 -18300.0 7.0 0.00267
20 9 -18300.0 7.0 0.00267
20 9 -18300.0 7.0 0.00267
4 9 -2700.0 5.0 -1
5 9 -9300.0 4.0 5.007692307692308e-22
6 9 -10224.0 15.0 6.904545454545455e-22
7 9 -9088.0 5.0 1.13925e-20
8 9 -5818.7 4.0 64.49
9 9 -4415.2 5.0 6586.2
10 10 12843.4581 17.0 -1.0
11 10 13003.28 5.0 -1.0
12 10 15266.1 18.0 -1.0
13 10 -10912.0 3.0 37.24
14 10 -12172.7 10.0 202.79999999999998
15 10 -12520.0 3.0 0.602
16 10 -11230.0 6.0 0.197
16 10 -11230.0 6.0 0.197
17 10 -10000.0 15.0 0.0315
17 10 -10000.0 15.0 0.0315
17 10 -10000.0 15.0 0.0315
18 10 -9630.0 21.0 0.02
18 10 -9630.0 21.0 0.02
18 10 -9630.0 21.0 0.02
19 10 -11350.0 22.0 0.015
19 10 -11350.0 22.0 0.015
19 10 -11350.0 22.0 0.015
19 10 -11350.0 22.0 0.015
20 10 -13800.0 3.0 0.00739
20 10 -13800.0 3.0 0.00739
20 10 -13800.0 3.0 0.00739
20 10 -13800.0 3.0 0.00739
21 10 -15900.0 6.0 0.0034
21 10 -15900.0 6.0 0.0034
22 10 -17500.0 9.0 0.0035
22 10 -17500.0 9.0 0.0035
22 10 -17500.0 9.0 0.0035
22 10 -17500.0 9.0 0.0035
23 10 0.0 0.0 -1
24 10 0.0 0.0 -1
24 10 0.0 0.0 -1
24 10 0.0 0.0 -1
24 10 0.0 0.0 -1
9 10 -3528.5 5.0 17.22
7 10 -9040.0 10.0 0.1092
7 10 -9040.0 10.0 0.1092
7 10 -9040.0 10.0 0.1092
8 10 -5115.1 4.0 1.667
5 10 -960.0 8.0 -1
6 10 -10451.0 24.0 9e-21
9 11 -6250.0 5.0 0.44789999999999996
9 11 -6250.0 5.0 0.44789999999999996
8 11 -6062.0 18.0 -1
