2.0 2.0 0.0 0.0
2.0 3.0 735.0 735.0
3.0 2.0 1964.9999 1964.9999
3.0 3.0 -1473.7583 -1473.7583
3.0 4.0 -2467.6221 -2467.6221
3.0 5.0 -6100.2403 -6100.2403
3.0 6.0 -10362.4579 -10362.4579
3.0 7.0 -11248.0128 -11248.0128
3.0 8.0 -10832.0 -10832.0
4.0 3.0 -1587.1371 -1587.1371
4.0 4.0 91.8399 91.8399
4.0 5.0 -2307.6989 -2307.6989
4.0 6.0 -7409.5245 -7409.5245
4.0 7.0 -8320.8746 -8320.8746
4.0 8.0 -8956.8373 -8956.8373
4.0 9.0 -9701.6627 -9701.6627
4.0 10.0 -11667.5601 -11667.5601
5.0 2.0 -3415.0 -3415.0
5.0 3.0 -4826.5368 -4826.5368
5.0 4.0 -1687.3169 -1687.3169
5.0 5.0 -4461.1857 -4461.1857
5.0 6.0 -8664.3124 -8664.3124
5.0 7.0 -10001.3225 -10001.3225
5.0 8.0 -10817.8729 -10817.8729
5.0 9.0 -11813.8576 -11813.8576
5.0 10.0 -14195.795 -14195.795
5.0 11.0 -14322.7938 -14322.7938
5.0 12.0 -15689.4889 -15689.4889
6.0 3.0 -10653.0 -10653.0
6.0 4.0 -5101.2767 -5101.2767
6.0 5.0 -7544.5165 -7544.5165
6.0 6.0 -7366.5875 -7366.5875
6.0 7.0 -10648.3575 -10648.3575
6.0 8.0 -12012.5091 -12012.5091
6.0 9.0 -12728.9395 -12728.9395
6.0 10.0 -13808.5442 -13808.5442
6.0 11.0 -15052.1159 -15052.1159
6.0 12.0 -17460.1527 -17460.1527
6.0 13.0 -19836.982 -19836.982
6.0 14.0 -22368.4878 -22368.4878
7.0 3.0 -10945.0 -10945.0
7.0 4.0 -5735.8247 -5735.8247
7.0 5.0 -8008.4167 -8008.4167
7.0 6.0 -9495.9206 -9495.9206
7.0 7.0 -11612.1097 -11612.1097
7.0 8.0 -10991.1859 -10991.1859
7.0 9.0 -10110.4066 -10110.4066
7.0 10.0 -11116.7852 -11116.7852
7.0 11.0 -12975.4343 -12975.4343
7.0 12.0 -15526.0403 -15526.0403
7.0 13.0 -17770.1168 -17770.1168
7.0 14.0 -20909.3222 -20909.3222
7.0 15.0 -22452.7511 -22452.7511
7.0 16.0 -25474.7374 -25474.7374
7.0 17.0 -24888.0 -24888.0
7.0 18.0 -24825.0 -24825.0
8.0 4.0 -5475.8501 -5475.8501
8.0 5.0 -8220.4554 -8220.4554
8.0 6.0 -10115.8076 -10115.8076
8.0 7.0 -10218.6907 -10218.6907
8.0 8.0 -7161.918000000001 -7161.918000000001
8.0 9.0 -6358.6894 -6358.6894
